Date,Period,dump_date,runtype,value
20170401,1,20170331224500,DANF,24100
20170401,2,20170331231500,DANF,23447
20170401,3,20170331234500,DANF,23479
20170401,4,20170401001600,DANF,23600
20170401,5,20170401004500,DANF,23378
20170401,6,20170401011500,DANF,22910
20170401,7,20170401014500,DANF,22476
20170401,8,20170401021500,DANF,22126
20170401,9,20170401024500,DANF,21803
20170401,10,20170401031500,DANF,21600
20170401,11,20170401034500,DANF,21732
20170401,12,20170401041500,DANF,22303
20170401,13,20170401044500,DANF,23251
20170401,14,20170401051500,DANF,24210
20170401,15,20170401054500,DANF,25938
20170401,16,20170401061500,DANF,27388
20170401,17,20170401064500,DANF,29065
20170401,18,20170401071500,DANF,30000
20170401,19,20170401071500,DANF,30780
20170401,20,20170401081500,DANF,30800
20170401,21,20170401084500,DANF,30175
20170401,22,20170401091500,DANF,29200
20170401,23,20170401094500,DANF,28808
20170401,24,20170401101500,DANF,28586
20170401,25,20170401104500,DANF,28297
20170401,26,20170401111500,DANF,27992
20170401,27,20170401114500,DANF,27517
20170401,28,20170401121600,DANF,26682
20170401,29,20170401124600,DANF,26253
20170401,30,20170401131500,DANF,25900
20170401,31,20170401134500,DANF,26741
20170401,32,20170401141600,DANF,26600
20170401,33,20170401144600,DANF,26918
20170401,34,20170401151500,DANF,27733
20170401,35,20170401154500,DANF,29035
20170401,36,20170401161600,DANF,29800
20170401,37,20170401164500,DANF,31500
20170401,38,20170401171500,DANF,32019
20170401,39,20170401174500,DANF,32059
20170401,40,20170401181500,DANF,32469
20170401,41,20170401184500,DANF,33500
20170401,42,20170401191500,DANF,33403
20170401,43,20170401194500,DANF,32428
20170401,44,20170401201500,DANF,31224
20170401,45,20170401204500,DANF,29777
20170401,46,20170401211500,DANF,28312
20170401,47,20170401214500,DANF,26540
20170401,48,20170401221500,DANF,25100
20170402,1,20170401224500,DANF,23600
20170402,2,20170401231600,DANF,23000
20170402,3,20170401234500,DANF,23046
20170402,4,20170402001500,DANF,23600
20170402,5,20170402004500,DANF,23339
20170402,6,20170402011500,DANF,22864
20170402,7,20170402014500,DANF,22377
20170402,8,20170402021600,DANF,22050
20170402,9,20170402024600,DANF,21598
20170402,10,20170402031500,DANF,21300
20170402,11,20170402034500,DANF,21410
20170402,12,20170402041500,DANF,21628
20170402,13,20170402044500,DANF,22300
20170402,14,20170402051600,DANF,22628
20170402,15,20170402054500,DANF,23626
20170402,16,20170402061500,DANF,24586
20170402,17,20170402064500,DANF,25700
20170402,18,20170402071500,DANF,26400
20170402,19,20170402071500,DANF,27360
20170402,20,20170402081500,DANF,28036
20170402,21,20170402084500,DANF,28400
20170402,22,20170402091500,DANF,27200
20170402,23,20170402094500,DANF,26985
20170402,24,20170402101500,DANF,27072
20170402,25,20170402104500,DANF,26940
20170402,26,20170402111600,DANF,26121
20170402,27,20170402114500,DANF,25341
20170402,28,20170402121600,DANF,24500
20170402,29,20170402124500,DANF,24643
20170402,30,20170402131600,DANF,25177
20170402,31,20170402134600,DANF,25378
20170402,32,20170402141500,DANF,25550
20170402,33,20170402144500,DANF,26068
20170402,34,20170402151500,DANF,26857
20170402,35,20170402154500,DANF,27450
20170402,36,20170402161500,DANF,27800
20170402,37,20170402164500,DANF,32000
20170402,38,20170402171600,DANF,32606
20170402,39,20170402174500,DANF,33390
20170402,40,20170402181500,DANF,34293
20170402,41,20170402184500,DANF,35200
20170402,42,20170402191500,DANF,34266
20170402,43,20170402194500,DANF,33034
20170402,44,20170402201500,DANF,31358
20170402,45,20170402204500,DANF,29964
20170402,46,20170402211500,DANF,28079
20170402,47,20170402214500,DANF,26195
20170402,48,20170402221500,DANF,24700
20170403,1,20170402224500,DANF,23100
20170403,2,20170402231500,DANF,22400
20170403,3,20170402234500,DANF,22792
20170403,4,20170403001600,DANF,23400
20170403,5,20170403004500,DANF,23323
20170403,6,20170403011500,DANF,23010
20170403,7,20170403014500,DANF,22630
20170403,8,20170403021500,DANF,22322
20170403,9,20170403024500,DANF,22100
20170403,10,20170403031500,DANF,22133
20170403,11,20170403034500,DANF,22731
20170403,12,20170403041500,DANF,23807
20170403,13,20170403044500,DANF,26311
20170403,14,20170403051500,DANF,28313
20170403,15,20170403054500,DANF,31078
20170403,16,20170403061500,DANF,32981
20170403,17,20170403064500,DANF,34587
20170403,18,20170403071500,DANF,35300
20170403,19,20170403071500,DANF,33500
20170403,20,20170403081500,DANF,32949
20170403,21,20170403084500,DANF,32100
20170403,22,20170403091500,DANF,31400
20170403,23,20170403094500,DANF,31129
20170403,24,20170403101600,DANF,30865
20170403,25,20170403104600,DANF,30670
20170403,26,20170403111500,DANF,30203
20170403,27,20170403114500,DANF,29497
