Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181117,1702,500,854,298,1
,20181117,1702,504,854,298,2
,20181117,1602,504,806,298,3
,20181117,1602,504,806,298,4
,20181117,1500,504,760,298,5
,20181117,1500,504,760,298,6
,20181117,1500,504,760,298,7
,20181117,1500,504,760,298,8
,20181117,1500,504,758,298,9
,20181117,1500,504,758,298,10
,20181117,1500,504,760,298,11
,20181117,1500,504,758,298,12
,20181117,1600,504,804,298,13
,20181117,1600,504,806,298,14
,20181117,1652,504,902,298,15
,20181117,1650,504,898,298,16
,20181117,1922,504,492,296,17
,20181117,1924,504,484,298,18
,20181117,1998,492,702,298,19
,20181117,2000,400,710,298,20
,20181117,1900,252,1052,298,21
,20181117,1900,180,1058,268,22
,20181117,1900,106,1058,298,23
,20181117,1900,6,1058,298,24
,20181117,1900,18,1000,298,25
,20181117,1898,0,1000,298,26
,20181117,1998,14,1000,298,27
,20181117,2000,14,1000,298,28
,20181117,2000,48,1000,298,29
,20181117,2000,48,996,298,30
,20181117,2000,100,680,298,31
,20181117,2000,100,678,298,32
,20181117,2000,154,994,298,33
,20181117,2000,152,1000,268,34
,20181117,2000,20,1058,126,35
,20181117,2000,0,1058,18,36
,20181117,2000,0,1058,-88,37
,20181117,2000,0,1058,-94,38
,20181117,2000,42,1058,30,39
,20181117,2000,0,1058,100,40
,20181117,2000,0,1058,248,41
,20181117,2000,0,1058,266,42
,20181117,2000,72,1000,298,43
,20181117,2000,88,1000,298,44
,20181117,1690,232,904,298,45
,20181117,1690,240,890,298,46
,20181117,1600,168,320,296,47
