Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181123,-880,8,1058,298,1
,20181123,-876,58,1058,298,2
,20181123,-900,86,1058,298,3
,20181123,-902,82,1058,298,4
,20181123,-168,2,1058,272,5
,20181123,-140,0,1058,298,6
,20181123,-762,54,1058,298,7
,20181123,-758,54,1056,298,8
,20181123,-1998,158,788,298,9
,20181123,-2042,170,692,298,10
,20181123,-1886,318,-586,298,11
,20181123,-1888,386,-676,298,12
,20181123,-904,492,-952,298,13
,20181123,-902,504,-960,298,14
,20181123,-436,472,-764,298,15
,20181123,-436,350,-760,248,16
,20181123,-230,200,-916,294,17
,20181123,-230,134,-906,298,18
,20181123,-748,16,-276,236,19
,20181123,-750,0,-250,234,20
,20181123,-336,0,-258,224,21
,20181123,-336,0,-258,224,22
,20181123,-96,0,-114,176,23
,20181123,-96,0,-110,174,24
,20181123,-128,0,98,38,25
,20181123,-126,0,102,-22,26
,20181123,-330,0,102,-30,27
,20181123,-332,0,102,-20,28
,20181123,-492,0,102,-36,29
,20181123,-494,0,102,-64,30
,20181123,-472,0,114,-218,31
,20181123,-476,0,114,-228,32
,20181123,800,0,0,-174,33
,20181123,804,-18,0,-230,34
,20181123,616,-146,698,-380,35
,20181123,666,-190,828,-454,36
,20181123,-392,-300,956,-454,37
,20181123,-426,-230,960,-454,38
,20181123,-64,-66,958,-454,39
,20181123,-62,0,958,-388,40
,20181123,-130,22,1056,-238,41
,20181123,-130,0,1058,-92,42
,20181123,-102,0,1002,34,43
,20181123,-100,0,1000,-18,44
,20181123,24,0,1000,-66,45
,20181123,56,0,1000,-120,46
,20181123,1808,0,1000,-110,47
