Date,Period,dump_date,runtype,value
20180401,1,20180331224500,DANF,25100
20180401,2,20180331231500,DANF,24400
20180401,3,20180331234500,DANF,24731
20180401,4,20180401001500,DANF,25400
20180401,5,20180401004600,DANF,25351
20180401,6,20180401011500,DANF,25049
20180401,7,20180401014500,DANF,24682
20180401,8,20180401021500,DANF,24383
20180401,9,20180401024500,DANF,24002
20180401,10,20180401031500,DANF,23800
20180401,11,20180401034600,DANF,23814
20180401,12,20180401041500,DANF,23911
20180401,13,20180401044500,DANF,24370
20180401,14,20180401051500,DANF,24586
20180401,15,20180401054600,DANF,25728
20180401,16,20180401061500,DANF,26796
20180401,17,20180401064500,DANF,28138
20180401,18,20180401071500,DANF,29000
20180401,19,20180401071500,DANF,30144
20180401,20,20180401081500,DANF,30843
20180401,21,20180401084500,DANF,31400
20180401,22,20180401091600,DANF,31353
20180401,23,20180401094500,DANF,31505
20180401,24,20180401101500,DANF,31931
20180401,25,20180401104600,DANF,32269
20180401,26,20180401111600,DANF,32400
20180401,27,20180401114500,DANF,32220
20180401,28,20180401121500,DANF,31811
20180401,29,20180401124500,DANF,31630
20180401,30,20180401131500,DANF,31411
20180401,31,20180401134500,DANF,31400
20180401,32,20180401141500,DANF,31563
20180401,33,20180401144500,DANF,32032
20180401,34,20180401151500,DANF,32763
20180401,35,20180401154500,DANF,33477
20180401,36,20180401161500,DANF,34000
20180401,37,20180401164500,DANF,34563
20180401,38,20180401171500,DANF,34445
20180401,39,20180401174500,DANF,34400
20180401,40,20180401181500,DANF,34350
20180401,41,20180401184500,DANF,35200
20180401,42,20180401191500,DANF,34794
20180401,43,20180401194500,DANF,33765
20180401,44,20180401201500,DANF,32352
20180401,45,20180401204500,DANF,31434
20180401,46,20180401211500,DANF,29754
20180401,47,20180401214500,DANF,27932
20180401,48,20180401221500,DANF,26300
20180402,1,20180401224500,DANF,25300
20180402,2,20180401231500,DANF,24400
20180402,3,20180401234500,DANF,24796
20180402,4,20180402001600,DANF,25500
20180402,5,20180402004500,DANF,25462
20180402,6,20180402011500,DANF,25143
20180402,7,20180402014500,DANF,24728
20180402,8,20180402021500,DANF,24409
20180402,9,20180402024500,DANF,24039
20180402,10,20180402031500,DANF,23800
20180402,11,20180402034500,DANF,24120
20180402,12,20180402041500,DANF,24633
20180402,13,20180402044500,DANF,25620
20180402,14,20180402051500,DANF,25750
20180402,15,20180402054500,DANF,27094
20180402,16,20180402061500,DANF,28416
20180402,17,20180402064600,DANF,29913
20180402,18,20180402071500,DANF,30800
20180402,19,20180402071500,DANF,32230
20180402,20,20180402081500,DANF,32909
20180402,21,20180402084500,DANF,33400
20180402,22,20180402091500,DANF,33467
20180402,23,20180402094500,DANF,33623
20180402,24,20180402101500,DANF,33698
20180402,25,20180402105200,DANF,33800
20180402,26,20180402111500,DANF,33340
20180402,27,20180402114500,DANF,32412
20180402,28,20180402121600,DANF,31571
20180402,29,20180402124500,DANF,31246
20180402,30,20180402131500,DANF,30900
20180402,31,20180402134600,DANF,31009
20180402,32,20180402141500,DANF,31134
20180402,33,20180402144500,DANF,31751
20180402,34,20180402151500,DANF,32609
20180402,35,20180402154500,DANF,33233
20180402,36,20180402161500,DANF,33616
20180402,37,20180402164500,DANF,33900
20180402,38,20180402171500,DANF,34500
20180402,39,20180402174500,DANF,34692
20180402,40,20180402181500,DANF,35086
20180402,41,20180402184500,DANF,36400
20180402,42,20180402191500,DANF,35250
20180402,43,20180402194600,DANF,33918
20180402,44,20180402201600,DANF,32198
20180402,45,20180402204500,DANF,30355
20180402,46,20180402211500,DANF,28558
20180402,47,20180402214500,DANF,26651
20180402,48,20180402221500,DANF,25000
20180403,1,20180402224500,DANF,23800
20180403,2,20180402231500,DANF,22900
20180403,3,20180402234600,DANF,23283
20180403,4,20180403001500,DANF,23953
20180403,5,20180403004500,DANF,24000
20180403,6,20180403011500,DANF,23675
20180403,7,20180403014500,DANF,24462
20180403,8,20180403021500,DANF,24281
20180403,9,20180403024500,DANF,24000
20180403,10,20180403031500,DANF,24055
20180403,11,20180403034600,DANF,24675
20180403,12,20180403041500,DANF,25796
20180403,13,20180403044500,DANF,28116
20180403,14,20180403051500,DANF,30311
20180403,15,20180403054500,DANF,33031
20180403,16,20180403061500,DANF,34614
20180403,17,20180403064500,DANF,36089
20180403,18,20180403071500,DANF,36500
20180403,19,20180403071500,DANF,36600
20180403,20,20180403081500,DANF,36222
20180403,21,20180403084500,DANF,35523
20180403,22,20180403091500,DANF,34800
20180403,23,20180403094500,DANF,34396
20180403,24,20180403101600,DANF,34059
20180403,25,20180403104500,DANF,33966
20180403,26,20180403111500,DANF,35107
20180403,27,20180403114500,DANF,34667
20180403,28,20180403121600,DANF,34500
20180403,29,20180403124500,DANF,34515
20180403,30,20180403131500,DANF,34513
20180403,31,20180403134600,DANF,34653
20180403,32,20180403141500,DANF,34792
20180403,33,20180403144600,DANF,35299
20180403,34,20180403151500,DANF,36086
20180403,35,20180403154600,DANF,36744
20180403,36,20180403161500,DANF,37205
20180403,37,20180403164500,DANF,37400
20180403,38,20180403171500,DANF,37518
20180403,39,20180403174500,DANF,37400
20180403,40,20180403181500,DANF,37504
20180403,41,20180403184500,DANF,38400
20180403,42,20180403191500,DANF,38036
20180403,43,20180403194500,DANF,36759
20180403,44,20180403201600,DANF,34841
20180403,45,20180403204600,DANF,32843
20180403,46,20180403211500,DANF,30753
20180403,47,20180403214500,DANF,28587
20180403,48,20180403221500,DANF,26800
20180404,1,20180403224500,DANF,24500
20180404,2,20180403231600,DANF,23900
20180404,3,20180403234500,DANF,24229
20180404,4,20180404001500,DANF,25158
20180404,5,20180404004500,DANF,25400
20180404,6,20180404011500,DANF,25154
