Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181108,1800,274,904,162,1
,20181108,1800,426,904,162,2
,20181108,1800,444,902,162,3
,20181108,1802,408,902,162,4
,20181108,1702,436,714,162,5
,20181108,1704,462,712,162,6
,20181108,1704,504,712,162,7
,20181108,1704,504,712,162,8
,20181108,1704,504,710,162,9
,20181108,1704,504,710,162,10
,20181108,1546,456,748,162,11
,20181108,1548,394,746,162,12
,20181108,1228,498,410,162,13
,20181108,1220,492,400,162,14
,20181108,1556,352,-138,160,15
,20181108,1560,256,-146,162,16
,20181108,1396,104,-146,140,17
,20181108,1400,28,-144,162,18
,20181108,686,148,406,162,19
,20181108,686,102,442,162,20
,20181108,-250,194,106,162,21
,20181108,-254,184,102,162,22
,20181108,-760,96,0,116,23
,20181108,-766,96,0,110,24
,20181108,-672,44,0,126,25
,20181108,-672,42,0,102,26
,20181108,-314,130,192,144,27
,20181108,-314,132,200,162,28
,20181108,282,54,0,144,29
,20181108,284,54,0,154,30
,20181108,504,0,-686,68,31
,20181108,494,0,-810,82,32
,20181108,1768,-56,-1006,-76,33
,20181108,1796,-186,-862,-220,34
,20181108,1996,-338,0,-372,35
,20181108,1998,-486,0,-454,36
,20181108,1952,-536,0,-454,37
,20181108,1952,-536,0,-454,38
,20181108,1858,-536,390,-454,39
,20181108,1866,-468,430,-454,40
,20181108,1698,-318,430,-368,41
,20181108,1698,-162,432,-338,42
,20181108,1698,-24,774,-192,43
,20181108,1698,0,786,-192,44
,20181108,1702,0,852,-342,45
,20181108,1704,0,854,-382,46
,20181108,1458,70,738,-316,47
,20181108,1456,172,736,-166,48
,20181109,1456,70,736,0,1
,20181109,1456,126,736,124,2
,20181109,1406,28,712,130,3
,20181109,1406,24,710,100,4
,20181109,1406,168,712,130,5
,20181109,1404,182,712,130,6
,20181109,1406,262,710,130,7
,20181109,1406,284,712,76,8
,20181109,1406,434,758,78,9
,20181109,1404,504,758,128,10
,20181109,1504,504,758,128,11
,20181109,1498,504,758,128,12
,20181109,1998,504,492,128,13
,20181109,1998,504,454,128,14
,20181109,1998,504,0,128,15
,20181109,1998,504,0,128,16
,20181109,1998,504,636,128,17
,20181109,1998,504,742,128,18
,20181109,1998,504,786,128,19
,20181109,1998,504,784,128,20
,20181109,1998,504,492,128,21
,20181109,1998,504,488,128,22
,20181109,1754,504,788,128,23
,20181109,1748,504,796,128,24
,20181109,1848,504,900,128,25
,20181109,1848,504,886,128,26
,20181109,1838,504,242,128,27
,20181109,1842,504,216,128,28
,20181109,1444,504,582,128,29
,20181109,1438,504,590,128,30
,20181109,1794,460,252,128,31
,20181109,1796,370,252,128,32
,20181109,1848,220,786,50,33
,20181109,1846,74,806,22,34
,20181109,1998,-52,1022,-74,35
,20181109,1998,-164,1030,-246,36
,20181109,1998,-302,1028,-350,37
,20181109,1998,-424,1028,-408,38
,20181109,1998,-318,1058,-454,39
,20181109,1998,-192,1060,-400,40
,20181109,1996,-46,1058,-262,41
,20181109,1998,0,1058,-260,42
