Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181118,1600,354,702,296,1
,20181118,1600,418,712,296,2
,20181118,1600,502,712,296,3
,20181118,1600,504,712,296,4
,20181118,1500,504,710,296,5
,20181118,1498,504,712,296,6
,20181118,1500,504,712,296,7
,20181118,1500,504,710,296,8
,20181118,1452,504,712,296,9
,20181118,1450,504,712,296,10
,20181118,1498,504,710,296,11
,20181118,1500,504,710,296,12
,20181118,1600,504,712,296,13
,20181118,1600,504,712,296,14
,20181118,1600,504,804,296,15
,20181118,1600,500,804,296,16
,20181118,1800,504,580,296,17
,20181118,1800,504,578,296,18
,20181118,1800,504,244,296,19
,20181118,1798,450,238,296,20
,20181118,2000,312,270,296,21
,20181118,2000,242,270,296,22
,20181118,2000,140,342,296,23
,20181118,2000,140,344,296,24
,20181118,2000,268,512,296,25
,20181118,2000,220,522,276,26
,20181118,2000,68,988,160,27
,20181118,2000,0,1000,176,28
,20181118,2000,0,1000,270,29
,20181118,2000,0,1000,234,30
,20181118,2000,0,952,84,31
,20181118,2000,0,952,36,32
,20181118,2000,78,946,174,33
,20181118,2000,76,948,94,34
,20181118,2000,-20,992,-82,35
,20181118,2000,0,992,-158,36
,20181118,2000,0,1058,-110,37
,20181118,2000,-12,1058,-94,38
,20181118,2000,0,960,86,39
,20181118,2000,0,958,170,40
,20181118,2000,62,958,288,41
,20181118,1924,84,958,294,42
,20181118,1400,228,900,294,43
,20181118,1402,242,900,240,44
,20181118,348,168,850,294,45
,20181118,344,188,850,294,46
,20181118,486,154,712,270,47
