Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181101,1998,-222,1058,-454,1
,20181101,1998,-142,1060,-400,2
,20181101,1998,-20,1058,-450,3
,20181101,1998,0,1058,-452,4
,20181101,1998,0,1002,-380,5
,20181101,1998,0,1000,-378,6
,20181101,1998,0,1000,-310,7
,20181101,1998,0,1000,-308,8
,20181101,1998,0,1000,-270,9
,20181101,1998,0,1000,-270,10
,20181101,1998,0,1000,-230,11
,20181101,1998,0,1000,-94,12
,20181101,1996,0,1000,86,13
,20181101,1996,-64,1000,92,14
,20181101,1996,-216,1000,-22,15
,20181101,1996,-266,1000,-186,16
,20181101,1996,-312,1056,-356,17
,20181101,1998,-314,1058,-444,18
,20181101,1996,-276,1058,-454,19
,20181101,1998,-272,1058,-454,20
,20181101,1998,-414,1058,-416,21
,20181101,1998,-414,1058,-454,22
,20181101,1998,-522,1058,-456,23
,20181101,1998,-536,1058,-456,24
,20181101,1998,-536,1002,-456,25
,20181101,1998,-536,1000,-456,26
,20181101,1998,-536,1000,-456,27
,20181101,1998,-536,1000,-456,28
,20181101,1998,-536,1000,-456,29
,20181101,1998,-536,1000,-456,30
,20181101,1998,-536,1000,-456,31
,20181101,1998,-536,1000,-456,32
,20181101,1998,-536,1000,-456,33
,20181101,1998,-536,1000,-456,34
,20181101,1998,-536,1056,-456,35
,20181101,1998,-536,1058,-456,36
,20181101,1998,-536,1058,-456,37
,20181101,1998,-536,1058,-456,38
,20181101,1998,-536,1060,-456,39
,20181101,1998,-536,1058,-456,40
,20181101,1998,-536,1058,-456,41
,20181101,1998,-536,1058,-456,42
,20181101,1998,-516,1002,-456,43
,20181101,1998,-524,1000,-456,44
,20181101,1998,-536,1000,-456,45
,20181101,1998,-536,1000,-456,46
,20181101,1950,-536,976,-456,47
,20181101,1948,-456,974,-434,48
,20181102,1900,-316,952,-380,1
,20181102,1898,-208,952,-406,2
,20181102,1900,-320,950,-454,3
,20181102,1900,-322,950,-454,4
,20181102,1900,-302,950,-454,5
,20181102,1900,-302,950,-454,6
,20181102,1900,-328,952,-454,7
,20181102,1900,-332,950,-456,8
,20181102,1900,-238,952,-452,9
,20181102,1900,-216,950,-350,10
,20181102,1822,-64,950,-200,11
,20181102,1822,-6,950,-118,12
,20181102,1640,-108,950,-162,13
,20181102,1648,-170,950,-278,14
,20181102,1184,-336,802,-428,15
,20181102,1158,-474,800,-454,16
,20181102,1824,-536,856,-454,17
,20181102,1830,-536,850,-454,18
,20181102,1648,-536,362,-454,19
,20181102,1654,-536,346,-456,20
,20181102,600,-514,370,-456,21
,20181102,594,-424,374,-456,22
,20181102,34,-274,734,-456,23
,20181102,32,-172,744,-454,24
,20181102,320,-34,830,-406,25
,20181102,302,0,830,-372,26
,20181102,-218,0,830,-222,27
,20181102,-224,0,730,-94,28
,20181102,504,68,-156,14,29
,20181102,508,222,-162,60,30
,20181102,820,374,0,134,31
,20181102,702,492,0,134,32
,20181102,1968,504,572,134,33
,20181102,1998,504,656,134,34
,20181102,1998,504,764,134,35
,20181102,1998,504,766,134,36
,20181102,1380,504,660,134,37
,20181102,1376,504,658,134,38
,20181102,332,504,668,134,39
,20181102,328,504,668,134,40
,20181102,-250,504,618,134,41
,20181102,-252,504,618,134,42
,20181102,-974,504,690,134,43
,20181102,-972,504,692,134,44
,20181102,-1876,504,800,134,45
,20181102,-1498,504,804,134,46
,20181102,1068,504,824,128,47
,20181102,1506,504,824,128,48
,20181103,1492,504,790,128,1
,20181103,1492,504,788,128,2
,20181103,1388,504,712,128,3
,20181103,1390,504,710,128,4
,20181103,1016,504,710,128,5
,20181103,1024,504,712,128,6
,20181103,200,504,712,128,7
,20181103,194,504,712,128,8
,20181103,-52,504,710,128,9
,20181103,-54,504,710,128,10
,20181103,-60,504,710,128,11
,20181103,-58,504,712,128,12
,20181103,-108,504,710,128,13
,20181103,-66,504,708,128,14
,20181103,-702,504,406,128,15
,20181103,-834,504,394,128,16
,20181103,-8,504,106,128,17
,20181103,-2,504,108,128,18
,20181103,270,504,834,128,19
,20181103,274,504,902,128,20
,20181103,376,504,902,128,21
,20181103,376,504,902,128,22
,20181103,290,504,902,128,23
,20181103,284,504,900,128,24
,20181103,1226,442,902,128,25
,20181103,1258,430,902,128,26
,20181103,564,452,902,128,27
,20181103,562,446,900,128,28
,20181103,454,472,852,128,29
,20181103,454,476,800,128,30
,20181103,180,504,110,128,31
,20181103,176,504,102,128,32
,20181103,572,504,732,128,33
,20181103,558,448,814,128,34
,20181103,1908,310,1052,128,35
,20181103,1998,210,1058,128,36
,20181103,1998,60,1058,128,37
,20181103,1998,0,1058,128,38
,20181103,1116,0,1058,128,39
,20181103,1092,0,1058,128,40
,20181103,1670,0,1056,128,41
,20181103,1664,0,1058,128,42
,20181103,-54,0,1002,128,43
,20181103,-96,0,1000,128,44
,20181103,-924,0,906,128,45
,20181103,-944,0,902,128,46
,20181103,296,0,664,156,47
,20181103,302,0,658,160,48
,20181104,1318,0,620,160,1
,20181104,1326,0,618,160,2
,20181104,1360,0,264,160,3
,20181104,1360,0,256,160,4
,20181104,1270,0,358,160,5
,20181104,1268,0,344,160,6
,20181104,1364,0,-526,160,7
,20181104,1366,0,-596,160,8
,20181104,1366,0,-692,160,9
,20181104,1370,0,-694,160,10
,20181104,968,0,-472,160,11
,20181104,964,0,-432,160,12
,20181104,1370,0,404,160,13
,20181104,1358,0,420,160,14
,20181104,610,0,0,160,15
,20181104,604,0,0,160,16
,20181104,874,0,682,160,17
,20181104,868,0,804,160,18
,20181104,1892,0,950,160,19
,20181104,1898,0,952,94,20
,20181104,1998,0,1056,-38,21
,20181104,1998,0,1058,-40,22
,20181104,1998,0,1058,-156,23
,20181104,1998,0,1056,-156,24
,20181104,1998,0,1002,-150,25
,20181104,1998,0,1000,-118,26
,20181104,1998,0,1000,-264,27
,20181104,1998,0,1000,-328,28
,20181104,1998,0,1000,-438,29
,20181104,1998,0,1000,-456,30
,20181104,1998,0,1000,-456,31
,20181104,1998,0,1000,-456,32
,20181104,1998,0,1000,-456,33
,20181104,1998,0,1000,-456,34
,20181104,1998,0,1056,-456,35
,20181104,1998,0,1058,-456,36
,20181104,1998,0,1058,-456,37
,20181104,1998,0,1058,-456,38
,20181104,1998,0,924,-456,39
,20181104,1998,0,920,-456,40
,20181104,1998,0,1042,-456,41
,20181104,1998,0,1044,-456,42
,20181104,1998,0,1002,-456,43
,20181104,1998,0,1000,-420,44
,20181104,1998,0,686,-454,45
,20181104,1998,0,676,-452,46
,20181104,1752,0,438,-380,47
,20181104,1748,0,436,-240,48
