Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181115,1506,504,760,118,1
,20181115,1506,504,760,118,2
,20181115,1506,504,760,118,3
,20181115,1506,504,760,118,4
,20181115,1506,504,760,116,5
,20181115,1506,504,760,116,6
,20181115,1506,504,760,116,7
,20181115,1506,504,760,116,8
,20181115,1506,504,758,116,9
,20181115,1506,504,756,116,10
,20181115,1506,504,388,116,11
,20181115,1514,504,360,116,12
,20181115,568,504,0,116,13
,20181115,556,504,0,116,14
,20181115,776,504,0,116,15
,20181115,776,504,0,116,16
,20181115,946,504,0,116,17
,20181115,946,504,0,116,18
,20181115,996,504,546,116,19
,20181115,996,504,622,116,20
,20181115,1032,482,392,116,21
,20181115,1036,348,376,116,22
,20181115,430,340,102,116,23
,20181115,414,354,102,116,24
,20181115,520,296,102,116,25
,20181115,524,284,102,116,26
,20181115,242,434,0,116,27
,20181115,240,504,0,116,28
,20181115,144,502,188,114,29
,20181115,122,418,202,116,30
,20181115,444,266,0,118,31
,20181115,432,114,0,84,32
,20181115,1842,-36,756,-86,33
,20181115,2000,-188,904,-244,34
,20181115,2000,-340,1058,-394,35
,20181115,2000,-488,1058,-456,36
,20181115,2000,-536,1028,-456,37
,20181115,2000,-536,1028,-456,38
,20181115,2000,-536,1058,-456,39
,20181115,2000,-536,1058,-456,40
,20181115,2000,-536,1058,-456,41
,20181115,2000,-466,1058,-456,42
,20181115,2000,-316,1000,-456,43
,20181115,2000,-234,1000,-456,44
,20181115,2000,-182,1000,-456,45
,20181115,2000,-126,1000,-456,46
,20181115,1902,-172,958,-384,47
,20181115,1902,-198,956,-258,48
,20181116,1900,-48,950,-108,1
,20181116,1902,0,950,20,2
,20181116,1902,0,952,132,3
,20181116,1902,0,950,154,4
,20181116,1902,0,950,30,5
,20181116,1902,0,950,34,6
,20181116,1902,0,950,68,7
,20181116,1902,0,950,16,8
,20181116,1902,0,950,96,9
,20181116,1912,70,950,224,10
,20181116,670,224,902,286,11
,20181116,712,362,902,288,12
,20181116,-348,484,938,288,13
,20181116,-362,388,938,288,14
