Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181113,1358,222,666,114,1
,20181113,1354,324,662,114,2
,20181113,1354,338,662,114,3
,20181113,1356,268,662,114,4
,20181113,1356,116,662,114,5
,20181113,1356,38,662,114,6
,20181113,1356,0,662,114,7
,20181113,1356,0,660,82,8
,20181113,1356,0,660,-56,9
,20181113,1352,-14,662,-58,10
,20181113,1650,68,550,78,11
,20181113,1652,86,548,112,12
,20181113,1878,180,266,112,13
,20181113,1964,78,258,60,14
,20181113,1572,-56,158,-76,15
,20181113,1572,-106,160,-246,16
,20181113,1834,-174,504,-384,17
,20181113,1696,-210,516,-456,18
,20181113,448,-194,738,-456,19
,20181113,468,-210,744,-456,20
,20181113,-364,-50,930,-450,21
,20181113,-372,-24,934,-404,22
,20181113,-368,0,1056,-288,23
,20181113,-370,0,1058,-210,24
,20181113,418,0,1002,-68,25
,20181113,472,34,1000,-20,26
,20181113,652,172,882,68,27
,20181113,630,196,878,114,28
,20181113,498,332,670,114,29
,20181113,496,366,664,114,30
,20181113,2,462,364,114,31
,20181113,-96,504,356,112,32
,20181113,1790,408,-136,30,33
,20181113,2000,378,-142,104,34
,20181113,1506,230,686,114,35
,20181113,1526,164,812,112,36
,20181113,1308,94,934,112,37
,20181113,1250,164,936,82,38
,20181113,1930,328,1032,112,39
,20181113,1972,470,1034,112,40
,20181113,1886,504,1034,112,41
,20181113,1886,504,1034,112,42
,20181113,1908,504,1002,112,43
,20181113,1910,504,1000,112,44
,20181113,1746,504,1000,112,45
,20181113,1746,504,998,110,46
,20181113,1508,504,766,86,47
,20181113,1504,504,758,86,48
,20181114,1504,504,760,86,1
,20181114,1504,504,760,86,2
,20181114,1504,504,760,86,3
,20181114,1504,504,760,86,4
,20181114,1502,504,650,86,5
,20181114,1508,504,642,86,6
,20181114,784,504,196,86,7
,20181114,786,504,182,86,8
,20181114,392,504,716,86,9
,20181114,386,504,734,86,10
,20181114,302,504,446,86,11
,20181114,304,504,414,86,12
,20181114,-264,504,0,86,13
,20181114,-276,504,0,86,14
,20181114,94,504,0,86,15
,20181114,98,504,0,86,16
,20181114,270,504,392,86,17
,20181114,274,504,418,86,18
,20181114,150,504,102,86,19
,20181114,150,504,102,86,20
,20181114,26,488,-110,86,21
,20181114,0,492,-116,86,22
,20181114,0,488,-122,76,23
,20181114,-2,422,-100,48,24
,20181114,-100,474,0,86,25
,20181114,-106,476,0,86,26
,20181114,244,504,0,86,27
,20181114,244,504,0,86,28
,20181114,490,504,0,86,29
,20181114,494,504,0,86,30
,20181114,228,504,-254,86,31
,20181114,216,478,-260,86,32
,20181114,1832,350,480,72,33
,20181114,2000,318,546,72,34
,20181114,2000,172,1042,72,35
,20181114,2000,34,1058,70,36
,20181114,2000,0,1058,16,37
,20181114,2000,30,1060,18,38
,20181114,2000,170,1058,82,39
,20181114,2000,250,1058,88,40
,20181114,2000,396,1058,88,41
,20181114,2000,434,1058,88,42
,20181114,2000,500,1002,88,43
,20181114,2000,504,1000,88,44
,20181114,1844,504,922,88,45
,20181114,1846,504,922,88,46
,20181114,1508,504,762,114,47
,20181114,1506,504,758,118,48
,20181115,1506,504,760,118,1
,20181115,1506,504,760,118,2
,20181115,1506,504,760,118,3
,20181115,1506,504,760,118,4
,20181115,1506,504,760,116,5
,20181115,1506,504,760,116,6
,20181115,1506,504,760,116,7
,20181115,1506,504,760,116,8
,20181115,1506,504,758,116,9
,20181115,1506,504,756,116,10
,20181115,1506,504,388,116,11
,20181115,1514,504,360,116,12
,20181115,568,504,0,116,13
,20181115,556,504,0,116,14
,20181115,776,504,0,116,15
,20181115,776,504,0,116,16
,20181115,946,504,0,116,17
,20181115,946,504,0,116,18
,20181115,996,504,546,116,19
,20181115,996,504,622,116,20
,20181115,1032,482,392,116,21
,20181115,1036,348,376,116,22
,20181115,430,340,102,116,23
,20181115,414,354,102,116,24
,20181115,520,296,102,116,25
,20181115,524,284,102,116,26
,20181115,242,434,0,116,27
,20181115,240,504,0,116,28
,20181115,144,502,188,114,29
,20181115,122,418,202,116,30
,20181115,444,266,0,118,31
,20181115,432,114,0,84,32
,20181115,1842,-36,756,-86,33
,20181115,2000,-188,904,-244,34
,20181115,2000,-340,1058,-394,35
,20181115,2000,-488,1058,-456,36
,20181115,2000,-536,1028,-456,37
,20181115,2000,-536,1028,-456,38
,20181115,2000,-536,1058,-456,39
,20181115,2000,-536,1058,-456,40
,20181115,2000,-536,1058,-456,41
,20181115,2000,-466,1058,-456,42
,20181115,2000,-316,1000,-456,43
,20181115,2000,-234,1000,-456,44
,20181115,2000,-182,1000,-456,45
,20181115,2000,-126,1000,-456,46
,20181115,1902,-172,958,-384,47
,20181115,1902,-198,956,-258,48
,20181116,1900,-48,950,-108,1
,20181116,1902,0,950,20,2
,20181116,1902,0,952,132,3
,20181116,1902,0,950,154,4
,20181116,1902,0,950,30,5
,20181116,1902,0,950,34,6
,20181116,1902,0,950,68,7
,20181116,1902,0,950,16,8
,20181116,1902,0,950,96,9
,20181116,1912,70,950,224,10
,20181116,670,224,902,286,11
,20181116,712,362,902,288,12
,20181116,-348,484,938,288,13
,20181116,-362,388,938,288,14
