Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181110,1504,0,760,202,1
,20181110,1504,14,760,202,2
,20181110,1406,86,712,202,3
,20181110,1404,78,712,202,4
,20181110,1404,192,712,202,5
,20181110,1404,198,710,202,6
,20181110,1404,50,428,202,7
,20181110,1404,0,422,202,8
,20181110,1406,12,420,202,9
,20181110,1406,14,422,202,10
,20181110,1406,0,704,202,11
,20181110,1404,28,712,202,12
,20181110,1502,158,758,198,13
,20181110,1496,90,758,106,14
,20181110,1896,-70,948,-82,15
,20181110,1898,-122,952,-128,16
,20181110,1998,-10,1056,-270,17
,20181110,1998,0,1058,-374,18
,20181110,1998,0,630,-350,19
,20181110,1998,-14,618,-354,20
,20181110,1822,-212,412,-454,21
,20181110,1998,-166,410,-456,22
,20181110,1998,-260,140,-456,23
,20181110,1998,-232,138,-456,24
,20181110,1998,-346,506,-456,25
,20181110,1998,-368,518,-456,26
,20181110,1998,-244,462,-456,27
,20181110,1998,-224,464,-456,28
,20181110,1998,-314,796,-456,29
,20181110,1998,-306,806,-456,30
,20181110,1998,-332,514,-456,31
,20181110,1998,-320,486,-456,32
,20181110,1998,-470,102,-456,33
,20181110,1998,-536,108,-456,34
,20181110,1998,-536,846,-456,35
,20181110,1998,-536,910,-456,36
,20181110,1998,-536,786,-456,37
,20181110,1998,-536,786,-456,38
,20181110,1998,-536,1038,-456,39
,20181110,1998,-486,1044,-426,40
,20181110,1998,-338,1058,-454,41
,20181110,1998,-242,1058,-404,42
,20181110,1998,-78,1002,-440,43
,20181110,1998,-24,1000,-424,44
,20181110,1998,-150,894,-438,45
,20181110,1998,-150,894,-428,46
,20181110,1900,-112,948,-350,47
,20181110,1900,-112,950,-266,48
,20181111,1802,-8,902,-118,1
,20181111,1800,0,900,-22,2
,20181111,1802,0,902,-74,3
,20181111,1800,0,900,-146,4
,20181111,1704,0,714,-296,5
,20181111,1704,0,710,-366,6
,20181111,1704,0,710,-334,7
,20181111,1704,-4,710,-348,8
,20181111,1704,-96,710,-384,9
,20181111,1704,-88,710,-408,10
,20181111,1704,-198,710,-258,11
,20181111,1704,-78,710,-96,12
,20181111,1704,32,710,84,13
,20181111,1702,34,710,90,14
,20181111,1898,-70,756,-30,15
,20181111,1898,-160,758,40,16
,20181111,1998,-34,996,16,17
,20181111,1998,0,1000,68,18
,20181111,1998,36,1058,216,19
,20181111,1998,32,1058,270,20
,20181111,1998,20,1056,270,21
,20181111,1998,40,1058,270,22
,20181111,1998,130,670,244,23
,20181111,1998,198,658,198,24
,20181111,1998,272,744,206,25
,20181111,1998,308,748,218,26
,20181111,1998,456,982,230,27
,20181111,1998,504,988,242,28
,20181111,1998,504,850,270,29
,20181111,1998,462,848,270,30
,20181111,1998,316,640,270,31
,20181111,1998,328,636,270,32
,20181111,1998,470,792,270,33
,20181111,1998,450,792,264,34
,20181111,1998,288,1014,138,35
,20181111,1998,210,1018,98,36
,20181111,1998,64,884,216,37
,20181111,1998,74,882,202,38
,20181111,1998,214,700,212,39
,20181111,1998,272,696,270,40
,20181111,1998,344,780,210,41
,20181111,2000,346,782,206,42
,20181111,1564,334,754,270,43
,20181111,1610,268,754,270,44
