acceptance_id,acceptance_time,bmunitid,bo_flag,company,end_time,rr_instruction_flag,rr_schedule_flag,runtype,so_flag,start_time,stor_flag,unit,unit_type,value_from,value_to
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 00:30:00,,,PN,,2019-12-30 00:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 01:00:00,,,PN,,2019-12-30 00:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 01:30:00,,,PN,,2019-12-30 01:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 02:00:00,,,PN,,2019-12-30 01:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 02:30:00,,,PN,,2019-12-30 02:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 03:00:00,,,PN,,2019-12-30 02:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 03:30:00,,,PN,,2019-12-30 03:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 04:00:00,,,PN,,2019-12-30 03:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 04:30:00,,,PN,,2019-12-30 04:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 05:00:00,,,PN,,2019-12-30 04:30:00,,STAY-3,T,3.000,15.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 05:30:00,,,PN,,2019-12-30 05:00:00,,STAY-3,T,15.000,27.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 06:00:00,,,PN,,2019-12-30 05:30:00,,STAY-3,T,27.000,39.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 06:15:00,,,PN,,2019-12-30 06:00:00,,STAY-3,T,39.000,45.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 06:30:00,,,PN,,2019-12-30 06:15:00,,STAY-3,T,45.000,87.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 07:00:00,,,PN,,2019-12-30 06:30:00,,STAY-3,T,87.000,172.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 07:01:00,,,PN,,2019-12-30 07:00:00,,STAY-3,T,172.000,175.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 07:15:00,,,PN,,2019-12-30 07:01:00,,STAY-3,T,175.000,427.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 07:30:00,,,PN,,2019-12-30 07:15:00,,STAY-3,T,427.000,427.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 08:00:00,,,PN,,2019-12-30 07:30:00,,STAY-3,T,427.000,427.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 08:30:00,,,PN,,2019-12-30 08:00:00,,STAY-3,T,427.000,427.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 09:00:00,,,PN,,2019-12-30 08:30:00,,STAY-3,T,426.000,426.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 09:30:00,,,PN,,2019-12-30 09:00:00,,STAY-3,T,426.000,426.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 10:00:00,,,PN,,2019-12-30 09:30:00,,STAY-3,T,425.000,425.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-30 10:30:00,,,PN,,2019-12-30 10:00:00,,STAY-3,T,424.000,424.000
