Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181116,1900,-48,950,-108,1
,20181116,1902,0,950,20,2
,20181116,1902,0,952,132,3
,20181116,1902,0,950,154,4
,20181116,1902,0,950,30,5
,20181116,1902,0,950,34,6
,20181116,1902,0,950,68,7
,20181116,1902,0,950,16,8
,20181116,1902,0,950,96,9
,20181116,1912,70,950,224,10
,20181116,670,224,902,286,11
,20181116,712,362,902,288,12
,20181116,-348,484,938,288,13
,20181116,-362,388,938,288,14
,20181116,264,236,930,288,15
,20181116,266,136,928,284,16
,20181116,774,14,728,222,17
,20181116,776,0,726,258,18
,20181116,960,0,802,220,19
,20181116,958,0,796,222,20
,20181116,1184,34,372,286,21
,20181116,1186,44,366,288,22
,20181116,1312,104,676,288,23
,20181116,1314,94,682,288,24
,20181116,1168,128,810,288,25
,20181116,1162,114,708,288,26
,20181116,1704,130,0,288,27
,20181116,1710,182,0,288,28
,20181116,1574,174,-168,288,29
,20181116,1570,150,-176,288,30
,20181116,1906,18,-230,288,31
,20181116,1906,24,-222,288,32
,20181116,1508,144,0,244,33
,20181116,1526,104,0,254,34
,20181116,2000,2,724,112,35
,20181116,2000,0,854,16,36
,20181116,2000,0,830,-88,37
,20181116,2000,0,830,-176,38
,20181116,2000,22,1056,-54,39
,20181116,2000,0,1058,74,40
,20181116,2000,80,1058,238,41
,20181116,2000,24,1058,288,42
,20181116,2000,2,1000,280,43
,20181116,2000,94,1000,206,44
,20181116,2000,246,990,278,45
,20181116,2000,252,988,286,46
,20181116,1690,246,854,296,47
