Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181128,1656,504,830,92,1
,20181128,1656,504,828,92,2
,20181128,1656,504,828,92,3
,20181128,1656,504,828,92,4
,20181128,1656,504,828,92,5
,20181128,1656,504,818,92,6
,20181128,1596,504,246,92,7
,20181128,1596,504,234,92,8
,20181128,384,504,798,92,9
,20181128,380,504,818,92,10
,20181128,472,504,876,92,11
,20181128,470,504,870,92,12
,20181128,1272,504,346,92,13
,20181128,1274,504,326,92,14
,20181128,786,504,242,90,15
,20181128,786,504,254,90,16
,20181128,704,504,884,90,17
,20181128,702,504,910,90,18
,20181128,836,504,994,90,19
,20181128,836,504,996,90,20
,20181128,996,504,540,90,21
,20181128,1006,504,526,90,22
,20181128,1006,504,606,90,23
,20181128,1006,504,608,90,24
,20181128,1006,504,580,92,25
,20181128,1002,504,578,92,26
,20181128,1790,504,678,92,27
,20181128,1802,504,680,92,28
,20181128,1746,504,736,92,29
,20181128,1744,504,736,92,30
,20181128,1846,504,792,92,31
,20181128,1846,504,792,92,32
,20181128,2000,504,638,92,33
,20181128,2002,436,636,74,34
,20181128,2000,286,828,-26,35
,20181128,2000,216,834,-76,36
,20181128,2000,216,948,68,37
,20181128,2000,272,948,90,38
,20181128,2000,322,830,90,39
,20181128,2000,374,828,90,40
,20181128,2000,494,946,90,41
,20181128,2000,504,946,90,42
,20181128,1970,466,998,90,43
,20181128,1974,500,1000,90,44
,20181128,1144,504,1000,90,45
,20181128,1104,504,1000,90,46
,20181128,1572,432,856,12,47
