Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181204,2000,-324,1048,-454,1
,20181204,1998,-216,1050,-450,2
,20181204,2000,-66,1048,-376,3
,20181204,2000,-6,1048,-434,4
,20181204,1998,-136,1050,-454,5
,20181204,1998,-140,1050,-454,6
,20181204,2000,-98,1048,-454,7
,20181204,2000,-96,1048,-454,8
,20181204,2000,-56,1000,-454,9
,20181204,2000,-58,1000,-454,10
,20181204,1998,0,904,-426,11
,20181204,2000,0,890,-348,12
,20181204,2000,-32,306,-198,13
,20181204,2000,-166,284,-186,14
,20181204,2000,-318,110,-336,15
,20181204,2000,-456,108,-448,16
,20181204,2000,-536,538,-454,17
,20181204,2000,-536,560,-456,18
,20181204,2000,-536,616,-456,19
,20181204,2000,-536,582,-456,20
,20181204,2000,-536,102,-456,21
,20181204,2000,-536,102,-456,22
,20181204,1976,-536,102,-456,23
,20181204,1976,-536,102,-304,24
,20181204,1998,-536,102,-456,25
,20181204,2000,-536,102,-456,26
,20181204,1998,-524,26,-430,27
,20181204,1998,-526,0,-456,28
,20181204,2000,-422,114,-456,29
,20181204,2000,-400,128,-456,30
,20181204,2000,-356,930,-456,31
,20181204,2000,-362,1000,-448,32
,20181204,2000,-466,1000,-334,33
,20181204,2000,-428,1000,-260,34
,20181204,2000,-516,1050,-346,35
,20181204,1998,-516,1048,-372,36
,20181204,2000,-536,1048,-334,37
,20181204,2000,-468,1048,-384,38
,20181204,2000,-306,1050,-234,39
,20181204,2000,-210,1048,-174,40
,20181204,1998,-64,1050,-108,41
,20181204,1998,0,1048,20,42
,20181204,1998,0,1002,122,43
,20181204,1998,0,1000,194,44
,20181204,2000,0,1000,58,45
,20181204,1998,0,1000,-78,46
,20181204,2000,70,1000,-72,47
