Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181122,-1632,164,1058,206,1
,20181122,-1632,234,1058,244,2
,20181122,-622,104,1058,236,3
,20181122,-610,132,1058,244,4
,20181122,-78,226,1058,242,5
,20181122,-74,230,1060,244,6
,20181122,-74,286,1058,244,7
,20181122,-102,298,1058,244,8
,20181122,-1854,446,1000,244,9
,20181122,-2042,466,1000,244,10
,20181122,-2042,504,990,244,11
,20181122,-2042,504,836,244,12
,20181122,-1526,504,-466,244,13
,20181122,-1526,504,-520,244,14
,20181122,-834,504,-966,244,15
,20181122,-832,504,-980,244,16
,20181122,-832,504,-920,244,17
,20181122,-834,474,-920,244,18
,20181122,-524,418,-776,244,19
,20181122,-526,384,-774,244,20
,20181122,-230,404,-772,244,21
,20181122,-230,410,-772,244,22
,20181122,-230,468,-764,244,23
,20181122,-230,468,-762,244,24
,20181122,-388,460,-520,244,25
,20181122,-388,442,-516,244,26
,20181122,122,464,-554,244,27
,20181122,124,476,-554,244,28
,20181122,-284,464,-378,244,29
,20181122,-284,462,-376,244,30
,20181122,-184,414,-380,244,31
,20181122,-186,498,-382,244,32
,20181122,138,504,-642,244,33
,20181122,144,484,-648,244,34
,20181122,-84,348,370,244,35
,20181122,-82,324,414,244,36
,20181122,-230,238,540,244,37
,20181122,-226,128,546,244,38
,20181122,-902,222,918,244,39
,20181122,-904,178,928,244,40
,20181122,-308,262,1056,244,41
,20181122,-306,166,1058,244,42
,20181122,-644,246,1002,244,43
,20181122,-644,238,1000,244,44
,20181122,-1006,92,1000,204,45
,20181122,-1004,0,1000,122,46
,20181122,-1936,0,1000,152,47
