Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181107,1504,-306,760,-454,1
,20181107,1504,-278,760,-454,2
,20181107,1504,-344,760,-456,3
,20181107,1504,-342,760,-456,4
,20181107,1406,-488,714,-422,5
,20181107,1406,-536,710,-454,6
,20181107,1404,-536,712,-456,7
,20181107,1406,-536,712,-456,8
,20181107,1406,-536,712,-456,9
,20181107,1404,-456,712,-454,10
,20181107,1404,-304,712,-444,11
,20181107,1400,-216,712,-412,12
,20181107,1896,-130,946,-268,13
,20181107,1898,-220,948,-250,14
,20181107,1998,-372,610,-400,15
,20181107,1998,-468,606,-456,16
,20181107,1998,-536,950,-456,17
,20181107,1998,-528,958,-456,18
,20181107,1998,-424,892,-406,19
,20181107,1998,-416,890,-436,20
,20181107,1574,-530,1056,-328,21
,20181107,1568,-536,1058,-320,22
,20181107,1544,-536,1058,-260,23
,20181107,1542,-486,1050,-318,24
,20181107,1796,-338,546,-224,25
,20181107,1796,-172,526,-294,26
,20181107,1998,-130,174,-272,27
,20181107,1998,-6,162,-212,28
,20181107,1702,-6,0,-66,29
,20181107,1702,-6,0,-60,30
,20181107,1076,-6,700,-124,31
,20181107,1054,-6,830,-108,32
,20181107,1994,-6,998,-244,33
,20181107,1998,-6,1000,-248,34
,20181107,1998,-196,946,-394,35
,20181107,1998,-536,944,-456,36
,20181107,1998,-536,958,-456,37
,20181107,1998,-536,960,-456,38
,20181107,1998,-536,1056,-456,39
,20181107,1998,-524,1060,-456,40
,20181107,1998,-408,1058,-456,41
,20181107,1998,-340,1058,-392,42
,20181107,1998,-188,1002,-288,43
,20181107,1998,-58,1000,-154,44
,20181107,1998,-98,1000,-228,45
,20181107,1998,-98,1000,-190,46
,20181107,1802,-28,904,-94,47
,20181107,1800,122,902,88,48
,20181108,1800,274,904,162,1
,20181108,1800,426,904,162,2
,20181108,1800,444,902,162,3
,20181108,1802,408,902,162,4
,20181108,1702,436,714,162,5
,20181108,1704,462,712,162,6
,20181108,1704,504,712,162,7
,20181108,1704,504,712,162,8
,20181108,1704,504,710,162,9
,20181108,1704,504,710,162,10
,20181108,1546,456,748,162,11
,20181108,1548,394,746,162,12
,20181108,1228,498,410,162,13
,20181108,1220,492,400,162,14
,20181108,1556,352,-138,160,15
,20181108,1560,256,-146,162,16
,20181108,1396,104,-146,140,17
,20181108,1400,28,-144,162,18
,20181108,686,148,406,162,19
,20181108,686,102,442,162,20
,20181108,-250,194,106,162,21
,20181108,-254,184,102,162,22
,20181108,-760,96,0,116,23
,20181108,-766,96,0,110,24
,20181108,-672,44,0,126,25
,20181108,-672,42,0,102,26
,20181108,-314,130,192,144,27
,20181108,-314,132,200,162,28
,20181108,282,54,0,144,29
,20181108,284,54,0,154,30
,20181108,504,0,-686,68,31
,20181108,494,0,-810,82,32
,20181108,1768,-56,-1006,-76,33
,20181108,1796,-186,-862,-220,34
,20181108,1996,-338,0,-372,35
,20181108,1998,-486,0,-454,36
,20181108,1952,-536,0,-454,37
,20181108,1952,-536,0,-454,38
,20181108,1858,-536,390,-454,39
,20181108,1866,-468,430,-454,40
,20181108,1698,-318,430,-368,41
,20181108,1698,-162,432,-338,42
,20181108,1698,-24,774,-192,43
,20181108,1698,0,786,-192,44
,20181108,1702,0,852,-342,45
,20181108,1704,0,854,-382,46
,20181108,1458,70,738,-316,47
,20181108,1456,172,736,-166,48
,20181109,1456,70,736,0,1
,20181109,1456,126,736,124,2
,20181109,1406,28,712,130,3
,20181109,1406,24,710,100,4
,20181109,1406,168,712,130,5
,20181109,1404,182,712,130,6
,20181109,1406,262,710,130,7
,20181109,1406,284,712,76,8
,20181109,1406,434,758,78,9
,20181109,1404,504,758,128,10
,20181109,1504,504,758,128,11
,20181109,1498,504,758,128,12
,20181109,1998,504,492,128,13
,20181109,1998,504,454,128,14
,20181109,1998,504,0,128,15
,20181109,1998,504,0,128,16
,20181109,1998,504,636,128,17
,20181109,1998,504,742,128,18
,20181109,1998,504,786,128,19
,20181109,1998,504,784,128,20
,20181109,1998,504,492,128,21
,20181109,1998,504,488,128,22
,20181109,1754,504,788,128,23
,20181109,1748,504,796,128,24
,20181109,1848,504,900,128,25
,20181109,1848,504,886,128,26
,20181109,1838,504,242,128,27
,20181109,1842,504,216,128,28
,20181109,1444,504,582,128,29
,20181109,1438,504,590,128,30
,20181109,1794,460,252,128,31
,20181109,1796,370,252,128,32
,20181109,1848,220,786,50,33
,20181109,1846,74,806,22,34
,20181109,1998,-52,1022,-74,35
,20181109,1998,-164,1030,-246,36
,20181109,1998,-302,1028,-350,37
,20181109,1998,-424,1028,-408,38
,20181109,1998,-318,1058,-454,39
,20181109,1998,-192,1060,-400,40
,20181109,1996,-46,1058,-262,41
,20181109,1998,0,1058,-260,42
,20181109,1998,0,1002,-126,43
,20181109,1996,0,998,-72,44
,20181109,1704,0,720,24,45
,20181109,1702,0,712,118,46
,20181109,1504,36,748,182,47
,20181109,1502,0,748,202,48
,20181110,1504,0,760,202,1
,20181110,1504,14,760,202,2
,20181110,1406,86,712,202,3
,20181110,1404,78,712,202,4
,20181110,1404,192,712,202,5
,20181110,1404,198,710,202,6
,20181110,1404,50,428,202,7
,20181110,1404,0,422,202,8
,20181110,1406,12,420,202,9
,20181110,1406,14,422,202,10
,20181110,1406,0,704,202,11
,20181110,1404,28,712,202,12
,20181110,1502,158,758,198,13
,20181110,1496,90,758,106,14
,20181110,1896,-70,948,-82,15
,20181110,1898,-122,952,-128,16
,20181110,1998,-10,1056,-270,17
,20181110,1998,0,1058,-374,18
,20181110,1998,0,630,-350,19
,20181110,1998,-14,618,-354,20
,20181110,1822,-212,412,-454,21
,20181110,1998,-166,410,-456,22
,20181110,1998,-260,140,-456,23
,20181110,1998,-232,138,-456,24
,20181110,1998,-346,506,-456,25
,20181110,1998,-368,518,-456,26
,20181110,1998,-244,462,-456,27
,20181110,1998,-224,464,-456,28
,20181110,1998,-314,796,-456,29
,20181110,1998,-306,806,-456,30
,20181110,1998,-332,514,-456,31
,20181110,1998,-320,486,-456,32
,20181110,1998,-470,102,-456,33
,20181110,1998,-536,108,-456,34
,20181110,1998,-536,846,-456,35
,20181110,1998,-536,910,-456,36
,20181110,1998,-536,786,-456,37
,20181110,1998,-536,786,-456,38
,20181110,1998,-536,1038,-456,39
,20181110,1998,-486,1044,-426,40
,20181110,1998,-338,1058,-454,41
,20181110,1998,-242,1058,-404,42
,20181110,1998,-78,1002,-440,43
,20181110,1998,-24,1000,-424,44
,20181110,1998,-150,894,-438,45
,20181110,1998,-150,894,-428,46
,20181110,1900,-112,948,-350,47
,20181110,1900,-112,950,-266,48
