Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181119,1494,114,710,270,1
,20181119,1500,198,712,270,2
,20181119,1112,262,712,270,3
,20181119,1110,192,710,270,4
,20181119,1434,262,710,270,5
,20181119,1438,292,712,270,6
,20181119,1382,184,712,270,7
,20181119,1384,188,712,270,8
,20181119,-290,330,712,270,9
,20181119,-238,338,712,270,10
,20181119,-254,466,900,270,11
,20181119,-254,504,902,270,12
,20181119,-408,448,998,270,13
,20181119,-470,284,998,270,14
,20181119,-488,132,786,270,15
,20181119,-490,58,784,218,16
,20181119,-930,0,908,70,17
,20181119,-930,0,910,14,18
,20181119,-1328,0,910,-90,19
,20181119,-1250,0,910,-224,20
,20181119,-2038,0,910,-178,21
,20181119,-2038,0,910,-168,22
,20181119,-2038,0,1058,-86,23
,20181119,-2038,0,1058,-74,24
,20181119,-2038,0,1000,-88,25
,20181119,-2038,0,1000,-82,26
,20181119,-2038,0,1000,-44,27
,20181119,-2038,0,1000,-64,28
,20181119,-2038,0,1000,-196,29
,20181119,-2038,0,988,-94,30
,20181119,-1216,0,462,50,31
,20181119,-1212,0,450,18,32
,20181119,-378,-40,772,-88,33
,20181119,-348,-70,780,-246,34
,20181119,-210,-224,1036,-396,35
,20181119,-208,-366,1040,-454,36
,20181119,-934,-334,1040,-456,37
,20181119,-936,-362,1040,-456,38
,20181119,-776,-226,1058,-456,39
,20181119,-774,-186,1058,-436,40
,20181119,-1700,-46,1058,-338,41
,20181119,-1702,-48,1058,-414,42
,20181119,-2038,-198,1002,-342,43
,20181119,-2036,-228,1006,-434,44
,20181119,-2036,-76,1000,-442,45
,20181119,-2036,-22,1000,-450,46
,20181119,-1246,-2,904,-382,47
,20181119,-1244,0,904,-232,48
