Date,Period,dump_date,runtype,value
20180801,1,20180731224600,DANF,21700
20180801,2,20180731231600,DANF,20889
20180801,3,20180731234600,DANF,20491
20180801,4,20180801001600,DANF,20200
20180801,5,20180801004600,DANF,19860
20180801,6,20180801011600,DANF,19564
20180801,7,20180801014500,DANF,19421
20180801,8,20180801021600,DANF,19410
20180801,9,20180801024600,DANF,19400
20180801,10,20180801031500,DANF,19405
20180801,11,20180801034700,DANF,19559
20180801,12,20180801041500,DANF,20270
20180801,13,20180801044500,DANF,22248
20180801,14,20180801051600,DANF,24142
20180801,15,20180801054500,DANF,26145
20180801,16,20180801061600,DANF,27339
20180801,17,20180801064600,DANF,28179
20180801,18,20180801071500,DANF,28500
20180801,19,20180801071500,DANF,28100
20180801,20,20180801081500,DANF,27964
20180801,21,20180801084600,DANF,27747
20180801,22,20180801091500,DANF,27562
20180801,23,20180801094500,DANF,27288
20180801,24,20180801101600,DANF,27475
20180801,25,20180801104600,DANF,27400
20180801,26,20180801111600,DANF,27216
20180801,27,20180801114600,DANF,27177
20180801,28,20180801121600,DANF,26989
20180801,29,20180801124500,DANF,26900
20180801,30,20180801131600,DANF,26977
20180801,31,20180801134500,DANF,27202
20180801,32,20180801141600,DANF,27472
20180801,33,20180801144600,DANF,28208
20180801,34,20180801151500,DANF,29130
20180801,35,20180801154600,DANF,30054
20180801,36,20180801161500,DANF,30681
20180801,37,20180801164500,DANF,30900
20180801,38,20180801171500,DANF,30776
20180801,39,20180801174500,DANF,30314
20180801,40,20180801181600,DANF,29955
20180801,41,20180801184500,DANF,29600
20180801,42,20180801191500,DANF,29400
20180801,43,20180801194500,DANF,29600
20180801,44,20180801201600,DANF,29118
20180801,45,20180801204500,DANF,27980
20180801,46,20180801211600,DANF,26123
20180801,47,20180801214500,DANF,24312
20180801,48,20180801221600,DANF,22800
20180802,1,20180801224600,DANF,22000
20180802,2,20180801231500,DANF,20844
20180802,3,20180801234500,DANF,20417
20180802,4,20180802001500,DANF,20100
20180802,5,20180802004500,DANF,19695
20180802,6,20180802011500,DANF,19537
20180802,7,20180802014500,DANF,19373
20180802,8,20180802021500,DANF,19374
20180802,9,20180802024500,DANF,19300
20180802,10,20180802031500,DANF,19607
20180802,11,20180802034600,DANF,20164
20180802,12,20180802041500,DANF,20965
20180802,13,20180802044500,DANF,23144
20180802,14,20180802051500,DANF,24973
20180802,15,20180802054500,DANF,27159
20180802,16,20180802061600,DANF,28186
20180802,17,20180802064500,DANF,29108
20180802,18,20180802071500,DANF,29300
20180802,19,20180802071500,DANF,29300
20180802,20,20180802081500,DANF,28972
20180802,21,20180802084500,DANF,28822
20180802,22,20180802091500,DANF,29000
20180802,23,20180802094500,DANF,28704
20180802,24,20180802101500,DANF,28708
20180802,25,20180802104500,DANF,28750
20180802,26,20180802111500,DANF,28586
20180802,27,20180802114500,DANF,28408
20180802,28,20180802121600,DANF,28161
20180802,29,20180802124500,DANF,28189
20180802,30,20180802131500,DANF,28100
20180802,31,20180802134600,DANF,28250
20180802,32,20180802141500,DANF,28756
20180802,33,20180802144500,DANF,29324
20180802,34,20180802151500,DANF,30232
20180802,35,20180802154500,DANF,30886
20180802,36,20180802161500,DANF,31322
20180802,37,20180802164600,DANF,31598
20180802,38,20180802171600,DANF,31600
20180802,39,20180802174500,DANF,31348
20180802,40,20180802181500,DANF,31154
20180802,41,20180802184500,DANF,30900
20180802,42,20180802191500,DANF,30407
20180802,43,20180802194500,DANF,30500
20180802,44,20180802201600,DANF,30153
20180802,45,20180802204500,DANF,28946
20180802,46,20180802211500,DANF,27184
