Date,Period,dump_date,runtype,value
20180701,1,20180630224600,DANF,21800
20180701,2,20180630231600,DANF,20962
20180701,3,20180630234500,DANF,20362
20180701,4,20180701001500,DANF,19800
20180701,5,20180701004500,DANF,19631
20180701,6,20180701011500,DANF,19224
20180701,7,20180701014600,DANF,19010
20180701,8,20180701021500,DANF,18740
20180701,9,20180701024500,DANF,18458
20180701,10,20180701031500,DANF,17916
20180701,11,20180701034600,DANF,17800
20180701,12,20180701041500,DANF,17819
20180701,13,20180701044500,DANF,18259
20180701,14,20180701051500,DANF,18554
20180701,15,20180701054500,DANF,19270
20180701,16,20180701061500,DANF,19765
20180701,17,20180701064600,DANF,20505
20180701,18,20180701071500,DANF,20900
20180701,19,20180701071500,DANF,21854
20180701,20,20180701081500,DANF,22321
20180701,21,20180701084500,DANF,22800
20180701,22,20180701091500,DANF,22827
20180701,23,20180701094600,DANF,22831
20180701,24,20180701101600,DANF,22807
20180701,25,20180701104600,DANF,22900
20180701,26,20180701111600,DANF,23200
20180701,27,20180701114600,DANF,22839
20180701,28,20180701121600,DANF,22500
20180701,29,20180701124500,DANF,22686
20180701,30,20180701131500,DANF,22528
20180701,31,20180701134500,DANF,22852
20180701,32,20180701141500,DANF,23231
20180701,33,20180701144500,DANF,23787
20180701,34,20180701151600,DANF,24655
20180701,35,20180701154600,DANF,25780
20180701,36,20180701161600,DANF,26515
20180701,37,20180701164500,DANF,27234
20180701,38,20180701171500,DANF,27739
20180701,39,20180701174500,DANF,28171
20180701,40,20180701181500,DANF,28200
20180701,41,20180701184500,DANF,28023
20180701,42,20180701191600,DANF,27600
20180701,43,20180701194600,DANF,27700
20180701,44,20180701201600,DANF,27177
20180701,45,20180701204500,DANF,27010
20180701,46,20180701211600,DANF,25780
20180701,47,20180701214500,DANF,23968
20180701,48,20180701221500,DANF,22400
20180702,1,20180701224500,DANF,21300
20180702,2,20180701231500,DANF,20570
20180702,3,20180701234500,DANF,20180
20180702,4,20180702001500,DANF,20000
20180702,5,20180702004600,DANF,19761
20180702,6,20180702011500,DANF,20221
20180702,7,20180702014500,DANF,20087
20180702,8,20180702021500,DANF,20043
20180702,9,20180702024600,DANF,19982
20180702,10,20180702031600,DANF,19700
20180702,11,20180702034600,DANF,20320
20180702,12,20180702041600,DANF,21379
20180702,13,20180702044500,DANF,23958
20180702,14,20180702051500,DANF,26144
20180702,15,20180702054600,DANF,28779
20180702,16,20180702061500,DANF,30016
20180702,17,20180702064500,DANF,30600
20180702,18,20180702071500,DANF,30478
20180702,19,20180702071500,DANF,30800
20180702,20,20180702081500,DANF,30226
20180702,21,20180702084600,DANF,29504
20180702,22,20180702091500,DANF,29200
20180702,23,20180702094600,DANF,28993
20180702,24,20180702102300,DANF,28070
20180702,25,20180702104700,DANF,28018
20180702,26,20180702111500,DANF,27843
20180702,27,20180702114600,DANF,27498
20180702,28,20180702121500,DANF,27414
20180702,29,20180702124500,DANF,27400
20180702,30,20180702131600,DANF,27462
20180702,31,20180702134600,DANF,27609
20180702,32,20180702141600,DANF,28336
20180702,33,20180702144600,DANF,29127
20180702,34,20180702151600,DANF,29976
20180702,35,20180702154600,DANF,30610
20180702,36,20180702161600,DANF,30984
20180702,37,20180702164600,DANF,31272
20180702,38,20180702171500,DANF,31700
20180702,39,20180702174600,DANF,31663
20180702,40,20180702181600,DANF,31616
20180702,41,20180702184500,DANF,31204
20180702,42,20180702191600,DANF,30500
20180702,43,20180702194600,DANF,30800
20180702,44,20180702201600,DANF,30466
20180702,45,20180702204500,DANF,29973
20180702,46,20180702211500,DANF,28619
20180702,47,20180702214600,DANF,26722
20180702,48,20180702221600,DANF,25100
20180703,1,20180702224600,DANF,22800
20180703,2,20180702231500,DANF,22102
20180703,3,20180702234600,DANF,21514
20180703,4,20180703001500,DANF,21300
20180703,5,20180703004500,DANF,21004
20180703,6,20180703011500,DANF,20608
20180703,7,20180703014500,DANF,20453
20180703,8,20180703021600,DANF,20516
20180703,9,20180703024600,DANF,20426
20180703,10,20180703031500,DANF,20200
20180703,11,20180703034600,DANF,20690
20180703,12,20180703041600,DANF,21476
20180703,13,20180703044500,DANF,23831
20180703,14,20180703051500,DANF,25921
20180703,15,20180703054500,DANF,28358
20180703,16,20180703061500,DANF,29410
20180703,17,20180703064600,DANF,29700
20180703,18,20180703071500,DANF,29371
20180703,19,20180703071500,DANF,29400
20180703,20,20180703081500,DANF,29177
20180703,21,20180703084600,DANF,28881
20180703,22,20180703091700,DANF,28800
20180703,23,20180703094600,DANF,27846
20180703,24,20180703101800,DANF,27870
20180703,25,20180703104600,DANF,27907
20180703,26,20180703111600,DANF,27597
20180703,27,20180703114700,DANF,27573
20180703,28,20180703121600,DANF,27500
20180703,29,20180703124600,DANF,27508
20180703,30,20180703131600,DANF,27604
20180703,31,20180703134600,DANF,27706
20180703,32,20180703141600,DANF,28373
20180703,33,20180703144600,DANF,29339
20180703,34,20180703151500,DANF,30002
20180703,35,20180703154600,DANF,30809
20180703,36,20180703161500,DANF,31234
20180703,37,20180703164500,DANF,31499
20180703,38,20180703171600,DANF,31676
20180703,39,20180703174600,DANF,31765
20180703,40,20180703181500,DANF,31800
20180703,41,20180703184600,DANF,31506
20180703,42,20180703191500,DANF,30900
20180703,43,20180703194600,DANF,31100
20180703,44,20180703201600,DANF,30114
20180703,45,20180703204600,DANF,29646
20180703,46,20180703211600,DANF,28204
20180703,47,20180703214500,DANF,26335
20180703,48,20180703221600,DANF,24700
20180704,1,20180703224600,DANF,23600
20180704,2,20180703231500,DANF,22769
20180704,3,20180703234600,DANF,22082
20180704,4,20180704001500,DANF,21900
20180704,5,20180704004500,DANF,21488
20180704,6,20180704011600,DANF,21211
20180704,7,20180704014500,DANF,20981
20180704,8,20180704021500,DANF,20898
20180704,9,20180704024600,DANF,20888
20180704,10,20180704031500,DANF,20600
20180704,11,20180704034700,DANF,21096
20180704,12,20180704041600,DANF,21922
20180704,13,20180704044500,DANF,24232
20180704,14,20180704051600,DANF,26646
20180704,15,20180704054500,DANF,29312
20180704,16,20180704061600,DANF,30712
20180704,17,20180704064600,DANF,31461
20180704,18,20180704071500,DANF,31500
20180704,19,20180704071500,DANF,31700
20180704,20,20180704081600,DANF,31398
20180704,21,20180704084500,DANF,31004
20180704,22,20180704091600,DANF,30897
20180704,23,20180704094600,DANF,30900
20180704,24,20180704101500,DANF,30885
20180704,25,20180704104500,DANF,30855
20180704,26,20180704111500,DANF,30650
20180704,27,20180704114600,DANF,29892
20180704,28,20180704121500,DANF,29588
20180704,29,20180704124500,DANF,29488
20180704,30,20180704131500,DANF,29444
20180704,31,20180704134600,DANF,29678
20180704,32,20180704141600,DANF,30416
20180704,33,20180704144500,DANF,31133
20180704,34,20180704151500,DANF,31947
20180704,35,20180704154500,DANF,32474
20180704,36,20180704161500,DANF,32709
20180704,37,20180704164600,DANF,32784
20180704,38,20180704171700,DANF,32900
20180704,39,20180704174500,DANF,32900
20180704,40,20180704181500,DANF,32874
20180704,41,20180704184500,DANF,32575
20180704,42,20180704191500,DANF,32200
20180704,43,20180704194500,DANF,31500
20180704,44,20180704201600,DANF,31185
20180704,45,20180704204600,DANF,30640
20180704,46,20180704211500,DANF,29187
20180704,47,20180704214500,DANF,27150
20180704,48,20180704221600,DANF,25300
20180705,1,20180704224500,DANF,24100
20180705,2,20180704231500,DANF,23223
20180705,3,20180704234600,DANF,22405
20180705,4,20180705001600,DANF,22000
20180705,5,20180705004500,DANF,21530
20180705,6,20180705011500,DANF,21222
20180705,7,20180705014500,DANF,21070
20180705,8,20180705021500,DANF,20932
20180705,9,20180705024500,DANF,20923
20180705,10,20180705031600,DANF,20600
20180705,11,20180705034600,DANF,20953
20180705,12,20180705041500,DANF,21553
20180705,13,20180705044500,DANF,23820
20180705,14,20180705051500,DANF,26039
20180705,15,20180705054500,DANF,28585
20180705,16,20180705061600,DANF,29994
20180705,17,20180705064600,DANF,30640
20180705,18,20180705071600,DANF,30700
20180705,19,20180705071600,DANF,30600
20180705,20,20180705081600,DANF,30363
20180705,21,20180705084500,DANF,30034
20180705,22,20180705091500,DANF,29700
20180705,23,20180705094500,DANF,29535
20180705,24,20180705101800,DANF,29378
20180705,25,20180705104600,DANF,29203
20180705,26,20180705111600,DANF,28789
20180705,27,20180705114600,DANF,28455
20180705,28,20180705121600,DANF,28236
20180705,29,20180705124600,DANF,29046
20180705,30,20180705131500,DANF,29187
20180705,31,20180705134600,DANF,29421
20180705,32,20180705141500,DANF,30072
20180705,33,20180705144600,DANF,30860
20180705,34,20180705151600,DANF,31594
20180705,35,20180705154500,DANF,32000
20180705,36,20180705161600,DANF,32000
20180705,37,20180705164600,DANF,31949
20180705,38,20180705171600,DANF,31883
20180705,39,20180705174600,DANF,31846
20180705,40,20180705181500,DANF,31598
20180705,41,20180705184600,DANF,31215
20180705,42,20180705191500,DANF,31000
20180705,43,20180705194600,DANF,31000
20180705,44,20180705201600,DANF,30630
20180705,45,20180705204600,DANF,30134
20180705,46,20180705211500,DANF,28663
20180705,47,20180705214600,DANF,26872
20180705,48,20180705221600,DANF,25200
20180706,1,20180705224600,DANF,24100
20180706,2,20180705231500,DANF,23160
20180706,3,20180705234600,DANF,22556
20180706,4,20180706001600,DANF,22300
20180706,5,20180706004500,DANF,21816
20180706,6,20180706011500,DANF,21516
20180706,7,20180706014500,DANF,21229
20180706,8,20180706021500,DANF,21176
20180706,9,20180706024500,DANF,21149
20180706,10,20180706031500,DANF,20900
20180706,11,20180706034700,DANF,21109
20180706,12,20180706041500,DANF,21791
20180706,13,20180706044500,DANF,23943
20180706,14,20180706051600,DANF,26063
20180706,15,20180706054500,DANF,28522
20180706,16,20180706061600,DANF,29931
20180706,17,20180706064600,DANF,30600
20180706,18,20180706071500,DANF,30268
20180706,19,20180706071500,DANF,30200
20180706,20,20180706081600,DANF,29836
20180706,21,20180706084600,DANF,29443
20180706,22,20180706091500,DANF,29200
20180706,23,20180706094500,DANF,29129
20180706,24,20180706101600,DANF,28893
20180706,25,20180706104600,DANF,28344
20180706,26,20180706111600,DANF,28149
20180706,27,20180706114600,DANF,27636
20180706,28,20180706121600,DANF,27426
20180706,29,20180706124500,DANF,27300
20180706,30,20180706131600,DANF,27511
20180706,31,20180706134600,DANF,27804
20180706,32,20180706141600,DANF,28266
20180706,33,20180706144600,DANF,28997
20180706,34,20180706151600,DANF,29771
20180706,35,20180706154600,DANF,30391
20180706,36,20180706161600,DANF,30763
20180706,37,20180706164600,DANF,30800
20180706,38,20180706171600,DANF,30728
20180706,39,20180706174600,DANF,30540
20180706,40,20180706181600,DANF,30352
20180706,41,20180706184600,DANF,29925
20180706,42,20180706191500,DANF,29500
20180706,43,20180706194600,DANF,29600
20180706,44,20180706201600,DANF,29513
20180706,45,20180706204600,DANF,29329
20180706,46,20180706211600,DANF,28239
20180706,47,20180706214500,DANF,26773
20180706,48,20180706221600,DANF,25400
20180707,1,20180706224600,DANF,24000
20180707,2,20180706231600,DANF,22972
20180707,3,20180706234600,DANF,22312
20180707,4,20180707001500,DANF,21800
20180707,5,20180707004500,DANF,21188
20180707,6,20180707011500,DANF,20664
20180707,7,20180707014500,DANF,20456
20180707,8,20180707021500,DANF,20367
