Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181121,-1576,294,952,162,1
,20181121,-1578,408,952,162,2
,20181121,-792,296,952,162,3
,20181121,-792,190,952,162,4
,20181121,-384,42,904,162,5
,20181121,-382,26,902,162,6
,20181121,-1064,28,824,162,7
,20181121,-1062,12,824,162,8
,20181121,-1930,122,950,162,9
,20181121,-1932,106,950,162,10
,20181121,-1932,192,772,162,11
,20181121,-1934,250,764,162,12
,20181121,-1518,348,460,162,13
,20181121,-1518,222,422,104,14
,20181121,-1518,68,-410,-40,15
,20181121,-1518,0,-448,-166,16
,20181121,-1518,0,-632,-284,17
,20181121,-1518,0,-640,-300,18
,20181121,-846,-50,-1062,-430,19
,20181121,-352,-64,-1072,-454,20
,20181121,-386,-206,-1072,-454,21
,20181121,-1612,-246,-1068,-454,22
,20181121,-1626,-388,-788,-382,23
,20181121,-1626,-376,-784,-324,24
,20181121,-1524,-226,-642,-442,25
,20181121,-1524,-158,-638,-440,26
,20181121,-1524,-24,-512,-454,27
,20181121,-1524,0,-510,-448,28
,20181121,-1524,0,-410,-420,29
,20181121,-1526,-8,-408,-390,30
,20181121,-1010,-108,-408,-452,31
,20181121,-1010,-104,-408,-426,32
,20181121,-186,-4,-256,-292,33
,20181121,-186,-72,-246,-238,34
,20181121,224,-224,558,-356,35
,20181121,326,-302,630,-412,36
,20181121,-1498,-320,1048,-330,37
,20181121,-1526,-216,1054,-354,38
,20181121,-1422,-64,676,-306,39
,20181121,-1422,0,668,-308,40
,20181121,-1734,54,742,-162,41
,20181121,-1736,8,742,-90,42
,20181121,-1736,36,684,84,43
,20181121,-1736,0,684,68,44
,20181121,-1736,-64,684,-74,45
,20181121,-1734,-68,686,-28,46
,20181121,-2042,-16,994,78,47
