Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181130,384,504,760,92,1
,20181130,388,504,760,92,2
,20181130,312,504,760,92,3
,20181130,312,504,754,92,4
,20181130,210,504,320,92,5
,20181130,210,504,304,92,6
,20181130,-142,504,126,92,7
,20181130,-144,504,122,92,8
,20181130,-644,504,122,92,9
,20181130,-646,504,126,92,10
,20181130,-858,504,722,92,11
,20181130,-892,504,760,92,12
,20181130,-56,504,562,92,13
,20181130,-54,504,542,92,14
,20181130,502,504,108,92,15
,20181130,506,502,104,92,16
,20181130,576,412,104,92,17
,20181130,578,346,104,92,18
,20181130,406,194,176,92,19
,20181130,406,114,178,92,20
,20181130,314,92,420,74,21
,20181130,318,166,424,50,22
,20181130,-228,316,308,92,23
,20181130,-232,424,306,92,24
,20181130,-270,452,306,92,25
,20181130,-278,424,306,92,26
,20181130,418,424,306,92,27
,20181130,440,384,306,92,28
,20181130,728,236,210,92,29
,20181130,736,154,204,92,30
,20181130,1356,22,-184,74,31
,20181130,1444,0,-190,14,32
,20181130,1998,-70,644,-88,33
,20181130,1998,-222,756,-246,34
,20181130,1998,-374,986,-396,35
,20181130,1998,-512,990,-456,36
,20181130,1998,-536,990,-456,37
,20181130,1998,-536,990,-456,38
,20181130,1998,-536,960,-456,39
,20181130,1998,-536,958,-456,40
,20181130,1998,-536,912,-456,41
,20181130,1998,-536,910,-456,42
,20181130,1682,-536,998,-456,43
,20181130,1684,-536,1000,-456,44
,20181130,800,-536,976,-456,45
,20181130,792,-536,974,-456,46
,20181130,762,-462,904,-386,47
