Date,Period,dump_date,runtype,value
20170701,1,20170630224500,DANF,22800
20170701,2,20170630231500,DANF,21703
20170701,3,20170630234600,DANF,21186
20170701,4,20170701001500,DANF,20800
20170701,5,20170701004500,DANF,20432
20170701,6,20170701011500,DANF,19946
20170701,7,20170701014500,DANF,19677
20170701,8,20170701021500,DANF,19592
20170701,9,20170701024500,DANF,19208
20170701,10,20170701031500,DANF,18709
20170701,11,20170701034500,DANF,18600
20170701,12,20170701041600,DANF,18760
20170701,13,20170701044500,DANF,19814
20170701,14,20170701051500,DANF,20624
20170701,15,20170701054500,DANF,22317
20170701,16,20170701061500,DANF,23662
20170701,17,20170701064500,DANF,25019
20170701,18,20170701071500,DANF,25700
20170701,19,20170701071500,DANF,26600
20170701,20,20170701081500,DANF,26057
20170701,21,20170701084500,DANF,25536
20170701,22,20170701091500,DANF,24800
20170701,23,20170701094500,DANF,25356
20170701,24,20170701101500,DANF,25191
20170701,25,20170701104500,DANF,24790
20170701,26,20170701111500,DANF,25114
20170701,27,20170701114500,DANF,24204
20170701,28,20170701121500,DANF,23451
20170701,29,20170701124600,DANF,23215
20170701,30,20170701131500,DANF,22960
20170701,31,20170701134600,DANF,22862
20170701,32,20170701141500,DANF,22700
20170701,33,20170701144500,DANF,23089
20170701,34,20170701151500,DANF,24100
20170701,35,20170701154500,DANF,25012
20170701,36,20170701161600,DANF,24930
20170701,37,20170701164500,DANF,25415
20170701,38,20170701171500,DANF,25630
20170701,39,20170701174600,DANF,25947
20170701,40,20170701181500,DANF,26000
20170701,41,20170701184600,DANF,25917
20170701,42,20170701191500,DANF,25700
20170701,43,20170701194600,DANF,25776
20170701,44,20170701201500,DANF,25765
20170701,45,20170701204500,DANF,25900
20170701,46,20170701211600,DANF,24898
20170701,47,20170701214600,DANF,23634
20170701,48,20170701221600,DANF,22100
20170702,1,20170701224500,DANF,21000
20170702,2,20170701231600,DANF,20023
20170702,3,20170701234500,DANF,19468
20170702,4,20170702001500,DANF,19200
20170702,5,20170702004600,DANF,18805
20170702,6,20170702011500,DANF,18337
20170702,7,20170702014600,DANF,17795
20170702,8,20170702021500,DANF,17634
20170702,9,20170702024600,DANF,17428
20170702,10,20170702031500,DANF,16895
20170702,11,20170702034600,DANF,16800
20170702,12,20170702041600,DANF,16904
20170702,13,20170702044500,DANF,17576
20170702,14,20170702051500,DANF,17956
20170702,15,20170702054500,DANF,18693
20170702,16,20170702061500,DANF,19305
20170702,17,20170702064500,DANF,20310
20170702,18,20170702071500,DANF,21200
20170702,19,20170702071500,DANF,22229
20170702,20,20170702081500,DANF,22806
20170702,21,20170702084500,DANF,23300
20170702,22,20170702091500,DANF,23315
20170702,23,20170702094500,DANF,23400
20170702,24,20170702101500,DANF,23400
20170702,25,20170702104600,DANF,23314
20170702,26,20170702111500,DANF,21925
20170702,27,20170702114500,DANF,21397
20170702,28,20170702121600,DANF,21112
20170702,29,20170702124500,DANF,20850
20170702,30,20170702131500,DANF,20800
20170702,31,20170702134600,DANF,20850
20170702,32,20170702141500,DANF,21123
20170702,33,20170702144500,DANF,21889
20170702,34,20170702151500,DANF,22607
20170702,35,20170702154500,DANF,23518
20170702,36,20170702161500,DANF,23988
20170702,37,20170702164500,DANF,24723
20170702,38,20170702171500,DANF,25236
20170702,39,20170702174500,DANF,25867
20170702,40,20170702181600,DANF,26300
20170702,41,20170702184500,DANF,27000
20170702,42,20170702191500,DANF,27070
20170702,43,20170702194600,DANF,26800
20170702,44,20170702201500,DANF,26553
20170702,45,20170702204500,DANF,26389
20170702,46,20170702211500,DANF,25058
20170702,47,20170702214500,DANF,23240
20170702,48,20170702221500,DANF,21700
20170703,1,20170702224500,DANF,20200
20170703,2,20170702231500,DANF,20135
20170703,3,20170702234600,DANF,19732
20170703,4,20170703001500,DANF,19500
20170703,5,20170703004500,DANF,19252
20170703,6,20170703011500,DANF,18924
20170703,7,20170703014500,DANF,18720
20170703,8,20170703021500,DANF,18650
20170703,9,20170703024500,DANF,18564
20170703,10,20170703031500,DANF,18200
20170703,11,20170703034500,DANF,18536
20170703,12,20170703041500,DANF,19294
20170703,13,20170703044500,DANF,21812
20170703,14,20170703051500,DANF,24339
20170703,15,20170703054500,DANF,27360
20170703,16,20170703061500,DANF,29248
20170703,17,20170703064500,DANF,30699
20170703,18,20170703071500,DANF,30900
20170703,19,20170703071500,DANF,31300
20170703,20,20170703081500,DANF,31215
20170703,21,20170703084500,DANF,30690
20170703,22,20170703091500,DANF,30600
20170703,23,20170703094500,DANF,30558
20170703,24,20170703101500,DANF,30348
20170703,25,20170703104600,DANF,30169
20170703,26,20170703111500,DANF,29932
20170703,27,20170703114500,DANF,29607
20170703,28,20170703121600,DANF,29298
20170703,29,20170703124500,DANF,29135
20170703,30,20170703131500,DANF,28953
20170703,31,20170703134600,DANF,28800
20170703,32,20170703141600,DANF,29231
20170703,33,20170703144600,DANF,29770
20170703,34,20170703151500,DANF,30839
20170703,35,20170703154500,DANF,31558
20170703,36,20170703161500,DANF,31731
20170703,37,20170703164500,DANF,32034
20170703,38,20170703171500,DANF,32300
20170703,39,20170703174600,DANF,32158
20170703,40,20170703181500,DANF,31956
20170703,41,20170703184600,DANF,31671
20170703,42,20170703191500,DANF,31000
20170703,43,20170703194500,DANF,30600
20170703,44,20170703201500,DANF,30111
20170703,45,20170703204500,DANF,29765
20170703,46,20170703211500,DANF,28361
20170703,47,20170703214500,DANF,26412
20170703,48,20170703221600,DANF,24700
20170704,1,20170703224500,DANF,22800
20170704,2,20170703231500,DANF,22094
20170704,3,20170703234500,DANF,21859
20170704,4,20170704001500,DANF,21800
20170704,5,20170704004500,DANF,21453
20170704,6,20170704011500,DANF,21077
20170704,7,20170704014500,DANF,20885
20170704,8,20170704021500,DANF,20814
20170704,9,20170704024500,DANF,20842
20170704,10,20170704031500,DANF,20600
20170704,11,20170704034600,DANF,20992
20170704,12,20170704041500,DANF,21888
20170704,13,20170704044500,DANF,24383
20170704,14,20170704051500,DANF,26822
20170704,15,20170704054500,DANF,29871
20170704,16,20170704061500,DANF,31680
20170704,17,20170704064500,DANF,32995
20170704,18,20170704071500,DANF,33300
20170704,19,20170704071500,DANF,33400
20170704,20,20170704081500,DANF,33242
20170704,21,20170704084600,DANF,32937
20170704,22,20170704091500,DANF,32901
20170704,23,20170704094500,DANF,32900
20170704,24,20170704101500,DANF,32846
20170704,25,20170704104500,DANF,32638
20170704,26,20170704111500,DANF,32249
20170704,27,20170704114500,DANF,32017
20170704,28,20170704121500,DANF,31790
20170704,29,20170704124500,DANF,31713
20170704,30,20170704131500,DANF,31641
20170704,31,20170704134500,DANF,31600
20170704,32,20170704141500,DANF,31852
20170704,33,20170704144500,DANF,32215
20170704,34,20170704151600,DANF,33144
20170704,35,20170704154500,DANF,33685
20170704,36,20170704161500,DANF,33786
20170704,37,20170704164500,DANF,33727
20170704,38,20170704171600,DANF,33800
20170704,39,20170704174500,DANF,33436
20170704,40,20170704181500,DANF,33010
20170704,41,20170704184500,DANF,32500
20170704,42,20170704191500,DANF,31600
20170704,43,20170704194500,DANF,31500
20170704,44,20170704201500,DANF,30868
20170704,45,20170704204500,DANF,30386
20170704,46,20170704211500,DANF,28832
20170704,47,20170704214500,DANF,26738
20170704,48,20170704221600,DANF,24900
20170705,1,20170704224500,DANF,23700
20170705,2,20170704231600,DANF,22887
20170705,3,20170704234500,DANF,22247
20170705,4,20170705001500,DANF,22000
20170705,5,20170705004500,DANF,21653
20170705,6,20170705011500,DANF,21272
20170705,7,20170705014500,DANF,21031
20170705,8,20170705021500,DANF,20875
20170705,9,20170705024500,DANF,20843
20170705,10,20170705031500,DANF,20600
20170705,11,20170705034500,DANF,20879
20170705,12,20170705041500,DANF,21526
20170705,13,20170705044500,DANF,24046
20170705,14,20170705051500,DANF,26331
20170705,15,20170705054500,DANF,29249
20170705,16,20170705061500,DANF,30737
20170705,17,20170705064500,DANF,31800
20170705,18,20170705071500,DANF,31739
20170705,19,20170705071500,DANF,32000
20170705,20,20170705081500,DANF,31644
20170705,21,20170705084500,DANF,31096
20170705,22,20170705091500,DANF,30700
20170705,23,20170705094500,DANF,30630
20170705,24,20170705101500,DANF,30583
20170705,25,20170705104600,DANF,30613
20170705,26,20170705111500,DANF,30243
20170705,27,20170705114500,DANF,29488
20170705,28,20170705121500,DANF,29422
20170705,29,20170705124600,DANF,29400
20170705,30,20170705131500,DANF,29587
20170705,31,20170705134500,DANF,29413
20170705,32,20170705141600,DANF,29802
20170705,33,20170705144500,DANF,30611
20170705,34,20170705151500,DANF,31552
20170705,35,20170705154500,DANF,31995
20170705,36,20170705161500,DANF,31972
20170705,37,20170705164500,DANF,32045
20170705,38,20170705171500,DANF,32100
20170705,39,20170705174500,DANF,31902
20170705,40,20170705181600,DANF,31845
20170705,41,20170705184500,DANF,31218
20170705,42,20170705191500,DANF,30900
20170705,43,20170705194600,DANF,30500
20170705,44,20170705201500,DANF,30401
20170705,45,20170705204500,DANF,29958
20170705,46,20170705211600,DANF,28215
20170705,47,20170705214600,DANF,26248
20170705,48,20170705221600,DANF,24700
20170706,1,20170705224500,DANF,24000
20170706,2,20170705231500,DANF,23078
20170706,3,20170705234500,DANF,22239
20170706,4,20170706001500,DANF,21800
20170706,5,20170706004500,DANF,21471
20170706,6,20170706011500,DANF,21109
20170706,7,20170706014500,DANF,20884
20170706,8,20170706021500,DANF,20745
20170706,9,20170706024500,DANF,20727
20170706,10,20170706031500,DANF,20500
20170706,11,20170706034600,DANF,20783
20170706,12,20170706041500,DANF,22017
20170706,13,20170706044500,DANF,24454
20170706,14,20170706051500,DANF,26650
20170706,15,20170706054500,DANF,29455
20170706,16,20170706061500,DANF,30799
20170706,17,20170706064500,DANF,31700
20170706,18,20170706071500,DANF,31568
20170706,19,20170706071500,DANF,31700
20170706,20,20170706081500,DANF,31577
20170706,21,20170706084500,DANF,31258
20170706,22,20170706091500,DANF,31088
20170706,23,20170706102100,DANF,31050
20170706,24,20170706102100,DANF,31036
20170706,25,20170706104500,DANF,31100
20170706,26,20170706111500,DANF,30766
20170706,27,20170706114500,DANF,30482
20170706,28,20170706121600,DANF,30178
20170706,29,20170706124500,DANF,30083
20170706,30,20170706131500,DANF,30000
20170706,31,20170706134500,DANF,30213
20170706,32,20170706141500,DANF,30939
20170706,33,20170706144500,DANF,31642
20170706,34,20170706151500,DANF,32443
20170706,35,20170706154500,DANF,32951
20170706,36,20170706161500,DANF,33161
20170706,37,20170706164500,DANF,33210
20170706,38,20170706171600,DANF,33300
20170706,39,20170706174500,DANF,33266
20170706,40,20170706181600,DANF,33081
20170706,41,20170706184500,DANF,32627
20170706,42,20170706191500,DANF,32100
20170706,43,20170706194500,DANF,32200
20170706,44,20170706201500,DANF,31838
20170706,45,20170706204500,DANF,31243
20170706,46,20170706211500,DANF,29724
20170706,47,20170706214600,DANF,27614
20170706,48,20170706221600,DANF,25700
20170707,1,20170706224500,DANF,24300
20170707,2,20170706231500,DANF,23530
20170707,3,20170706234500,DANF,22887
20170707,4,20170707001600,DANF,22700
20170707,5,20170707004500,DANF,22344
20170707,6,20170707011500,DANF,21868
20170707,7,20170707014500,DANF,21525
20170707,8,20170707021500,DANF,21434
20170707,9,20170707024500,DANF,21233
20170707,10,20170707031500,DANF,21000
20170707,11,20170707034500,DANF,21409
20170707,12,20170707041500,DANF,22309
20170707,13,20170707044500,DANF,24585
20170707,14,20170707051500,DANF,26947
20170707,15,20170707054500,DANF,29551
20170707,16,20170707061500,DANF,30941
20170707,17,20170707064500,DANF,31600
20170707,18,20170707071500,DANF,31594
20170707,19,20170707071500,DANF,31900
20170707,20,20170707081500,DANF,31719
20170707,21,20170707084500,DANF,31450
20170707,22,20170707091500,DANF,31400
20170707,23,20170707094500,DANF,31392
20170707,24,20170707101500,DANF,31337
20170707,25,20170707104500,DANF,31183
20170707,26,20170707111500,DANF,30703
20170707,27,20170707114500,DANF,30282
20170707,28,20170707121600,DANF,30222
