Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181120,-44,0,904,-82,1
,20181120,-42,0,904,54,2
,20181120,134,0,904,62,3
,20181120,134,0,902,58,4
,20181120,-42,0,714,24,5
,20181120,-40,0,712,18,6
,20181120,-132,0,712,110,7
,20181120,-128,0,710,106,8
,20181120,-842,0,710,192,9
,20181120,-854,62,710,134,10
,20181120,14,204,802,192,11
,20181120,56,332,804,198,12
,20181120,-486,378,950,194,13
,20181120,-490,230,952,94,14
,20181120,-490,78,950,-24,15
,20181120,-488,0,950,30,16
,20181120,-1210,0,802,14,17
,20181120,-1210,0,800,-86,18
,20181120,-1624,0,878,-102,19
,20181120,-1622,0,880,-178,20
,20181120,-2038,18,908,-72,21
,20181120,-2040,0,908,-152,22
,20181120,-2040,0,912,-156,23
,20181120,-2038,0,910,-100,24
,20181120,-2040,0,820,-142,25
,20181120,-2040,0,818,-170,26
,20181120,-1120,0,558,-42,27
,20181120,-1004,0,550,22,28
,20181120,-1004,0,286,38,29
,20181120,-1004,0,284,20,30
,20181120,-1004,0,522,-88,31
,20181120,-1004,0,526,-154,32
,20181120,-1004,0,642,-258,33
,20181120,-1004,0,650,-304,34
,20181120,-1108,-70,1048,-434,35
,20181120,-1108,-114,1058,-454,36
,20181120,-1314,-150,1060,-434,37
,20181120,-1314,-154,1058,-440,38
,20181120,-1314,-20,1058,-330,39
,20181120,-1314,0,1058,-294,40
,20181120,-1508,56,1058,-146,41
,20181120,-1508,8,1058,-28,42
,20181120,-1820,0,1002,18,43
,20181120,-1820,0,1000,84,44
,20181120,-1830,20,1000,190,45
,20181120,-1830,156,1000,192,46
,20181120,-1934,154,952,162,47
