Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181126,2000,0,1058,-436,1
,20181126,2000,0,1058,-452,2
,20181126,2002,0,1058,-380,3
,20181126,2000,0,1058,-388,4
,20181126,2000,0,1058,-264,5
,20181126,2000,0,1058,-256,6
,20181126,2000,0,1058,-182,7
,20181126,2000,-4,1058,-180,8
,20181126,2000,-94,1002,-108,9
,20181126,1966,-98,1000,-20,10
,20181126,762,-2,902,88,11
,20181126,738,0,896,236,12
,20181126,-974,70,488,180,13
,20181126,-1002,78,446,40,14
,20181126,-1312,-16,-344,-90,15
,20181126,-1312,-18,-356,-246,16
,20181126,-1832,-78,608,-396,17
,20181126,-1832,-70,700,-454,18
,20181126,-1832,-188,-100,-456,19
,20181126,-1834,-192,-104,-456,20
,20181126,-1394,-100,-120,-456,21
,20181126,-1392,-100,-122,-456,22
,20181126,-800,-46,-234,-456,23
,20181126,-800,-46,-238,-456,24
,20181126,-46,-84,-514,-456,25
,20181126,-46,-86,-520,-454,26
,20181126,1122,-2,-610,-376,27
,20181126,1124,0,-612,-374,28
,20181126,1246,0,-470,-350,29
,20181126,1246,-6,-466,-388,30
,20181126,1346,-104,-124,-350,31
,20181126,1346,-108,-114,-254,32
,20181126,1300,-4,98,-104,33
,20181126,1300,0,102,42,34
,20181126,828,0,500,-66,35
,20181126,826,0,542,-46,36
,20181126,1060,6,566,88,37
,20181126,1060,0,572,226,38
,20181126,980,0,998,292,39
,20181126,984,80,1010,288,40
,20181126,-222,232,1010,294,41
,20181126,-222,310,1010,294,42
,20181126,-1028,454,1000,294,43
,20181126,-1030,504,1000,294,44
,20181126,-1398,504,1000,288,45
,20181126,-1110,504,1000,174,46
,20181126,1280,504,1000,94,47
