Date,Period,dump_date,runtype,value
20171001,1,20170930224500,DANF,22300
20171001,2,20170930231600,DANF,21459
20171001,3,20170930234500,DANF,20900
20171001,4,20171001001500,DANF,20600
20171001,5,20171001004500,DANF,20020
20171001,6,20171001011500,DANF,19459
20171001,7,20171001014500,DANF,19008
20171001,8,20171001021500,DANF,18821
20171001,9,20171001024500,DANF,18582
20171001,10,20171001031500,DANF,18400
20171001,11,20171001034500,DANF,18725
20171001,12,20171001041500,DANF,18941
20171001,13,20171001044500,DANF,19501
20171001,14,20171001051500,DANF,20937
20171001,15,20171001054500,DANF,21844
20171001,16,20171001061500,DANF,23130
20171001,17,20171001064500,DANF,24474
20171001,18,20171001071500,DANF,25300
20171001,19,20171001071500,DANF,26620
20171001,20,20171001081500,DANF,27490
20171001,21,20171001084500,DANF,28200
20171001,22,20171001091500,DANF,28263
20171001,23,20171001094500,DANF,28358
20171001,24,20171001101500,DANF,28626
20171001,25,20171001104500,DANF,29200
20171001,26,20171001111500,DANF,29053
20171001,27,20171001114600,DANF,28698
20171001,28,20171001121600,DANF,28461
20171001,29,20171001124500,DANF,28308
20171001,30,20171001131500,DANF,28200
20171001,31,20171001134500,DANF,28261
20171001,32,20171001141500,DANF,28539
20171001,33,20171001144600,DANF,29295
20171001,34,20171001151600,DANF,30427
20171001,35,20171001154500,DANF,31495
20171001,36,20171001161500,DANF,32200
20171001,37,20171001164500,DANF,32662
20171001,38,20171001171500,DANF,33463
20171001,39,20171001174500,DANF,34500
20171001,40,20171001181600,DANF,33484
20171001,41,20171001184600,DANF,32269
20171001,42,20171001191500,DANF,31012
20171001,43,20171001194500,DANF,29553
20171001,44,20171001201600,DANF,27895
20171001,45,20171001204600,DANF,26208
20171001,46,20171001211500,DANF,24207
20171001,47,20171001214600,DANF,22160
20171001,48,20171001221600,DANF,20700
20171002,1,20171001224500,DANF,18800
20171002,2,20171001231600,DANF,18162
20171002,3,20171001234600,DANF,18000
20171002,4,20171002001600,DANF,18200
20171002,5,20171002004500,DANF,17982
20171002,6,20171002011600,DANF,17653
20171002,7,20171002014600,DANF,17465
20171002,8,20171002021500,DANF,17065
20171002,9,20171002024600,DANF,17000
20171002,10,20171002031500,DANF,17322
20171002,11,20171002034500,DANF,18217
20171002,12,20171002041500,DANF,19584
20171002,13,20171002044600,DANF,22829
20171002,14,20171002051500,DANF,25497
20171002,15,20171002054500,DANF,28866
20171002,16,20171002061500,DANF,30837
20171002,17,20171002064500,DANF,31967
20171002,18,20171002071500,DANF,32200
20171002,19,20171002071500,DANF,31600
20171002,20,20171002081600,DANF,31219
20171002,21,20171002084500,DANF,30622
20171002,22,20171002091500,DANF,30062
20171002,23,20171002094500,DANF,30100
20171002,24,20171002101500,DANF,30132
20171002,25,20171002104500,DANF,30300
20171002,26,20171002111500,DANF,29400
20171002,27,20171002114600,DANF,29406
20171002,28,20171002121600,DANF,29400
20171002,29,20171002124600,DANF,29504
20171002,30,20171002131500,DANF,29547
20171002,31,20171002134600,DANF,29544
20171002,32,20171002141500,DANF,30451
20171002,33,20171002144500,DANF,31713
20171002,34,20171002151500,DANF,32963
20171002,35,20171002154600,DANF,34134
20171002,36,20171002161500,DANF,34907
20171002,37,20171002164600,DANF,35700
20171002,38,20171002171500,DANF,36600
20171002,39,20171002174600,DANF,37713
20171002,40,20171002181500,DANF,37366
20171002,41,20171002184500,DANF,36039
20171002,42,20171002191600,DANF,34479
20171002,43,20171002194600,DANF,32821
20171002,44,20171002201600,DANF,30812
20171002,45,20171002204600,DANF,28754
20171002,46,20171002211600,DANF,26564
20171002,47,20171002214600,DANF,24478
20171002,48,20171002221700,DANF,22800
