Date,Period,Runtype,value
20180520,21,DAID,-20389
20180520,22,DAID,-20523
20180520,23,DAID,-20711
20180520,24,DAID,-20732
20180520,25,DAID,-20780
20180520,26,DAID,-20641
20180520,27,DAID,-20443
20180520,28,DAID,-20165
20180520,29,DAID,-20036
20180520,30,DAID,-19948
20180520,31,DAID,-19960
20180520,32,DAID,-20099
20180520,33,DAID,-20322
20180520,34,DAID,-20833
20180520,35,DAID,-21158
20180520,36,DAID,-21413
20180520,37,DAID,-21561
20180520,38,DAID,-21472
20180520,39,DAID,-21319
20180520,40,DAID,-21242
20180520,41,DAID,-21022
20180520,42,DAID,-20967
20180520,43,DAID,-21262
20180520,44,DAID,-21177
20180520,45,DAID,-20484
20180520,46,DAID,-19405
20180520,47,DAID,-18902
20180520,48,DAID,-17935
20180521,1,DAID,-17483
20180521,2,DAID,-17066
20180521,3,DAID,-16950
20180521,4,DAID,-16991
20180521,5,DAID,-16796
20180521,6,DAID,-16753
20180521,7,DAID,-16815
20180521,8,DAID,-16816
20180521,9,DAID,-16856
20180521,10,DAID,-16812
20180521,11,DAID,-17285
20180521,12,DAID,-17972
20180521,13,DAID,-18780
20180521,14,DAID,-20279
20180521,15,DAID,-22302
20180521,16,DAID,-23585
20180521,17,DAID,-24375
20180521,18,DAID,-24554
20180521,19,DAID,-24909
20180521,20,DAID,-25027
20180521,21,DAID,-24785
20180521,22,DAID,-24709
20180521,23,DAID,-24593
20180521,24,DAID,-24600
20180521,25,DAID,-24701
20180521,26,DAID,-24551
20180521,27,DAID,-24344
20180521,28,DAID,-24164
20180521,29,DAID,-24204
20180521,30,DAID,-24090
20180521,31,DAID,-24048
20180521,32,DAID,-24296
20180521,33,DAID,-24495
20180521,34,DAID,-24754
20180521,35,DAID,-25063
20180521,36,DAID,-25141
20180521,37,DAID,-24846
20180521,38,DAID,-24462
20180521,39,DAID,-23938
20180521,40,DAID,-23564
20180521,41,DAID,-23045
20180521,42,DAID,-22742
20180521,43,DAID,-22772
20180521,44,DAID,-22536
20180521,45,DAID,-21543
20180521,46,DAID,-20322
20180521,47,DAID,-19731
20180521,48,DAID,-18846
20180522,1,DAID,-18321
20180522,2,DAID,-17913
20180522,3,DAID,-17648
20180522,4,DAID,-17753
20180522,5,DAID,-17605
20180522,6,DAID,-17589
20180522,7,DAID,-17541
20180522,8,DAID,-17434
20180522,9,DAID,-17390
20180522,10,DAID,-17301
20180522,11,DAID,-17744
20180522,12,DAID,-18280
20180522,13,DAID,-19048
20180522,14,DAID,-20448
20180522,15,DAID,-22470
20180522,16,DAID,-23495
20180522,17,DAID,-23848
20180522,18,DAID,-23907
20180522,19,DAID,-24254
20180522,20,DAID,-24421
20180522,21,DAID,-24462
20180522,22,DAID,-24430
20180522,23,DAID,-24484
20180522,24,DAID,-24387
20180522,25,DAID,-24648
20180522,26,DAID,-24642
20180522,27,DAID,-24210
20180522,28,DAID,-24046
20180522,29,DAID,-23892
20180522,30,DAID,-23833
20180522,31,DAID,-23762
20180522,32,DAID,-23961
20180522,33,DAID,-24208
20180522,34,DAID,-24381
20180522,35,DAID,-24534
20180522,36,DAID,-24362
20180522,37,DAID,-24065
20180522,38,DAID,-23877
20180522,39,DAID,-23554
20180522,40,DAID,-23238
20180522,41,DAID,-22942
20180522,42,DAID,-22551
20180522,43,DAID,-22753
20180522,44,DAID,-22526
20180522,45,DAID,-21644
20180522,46,DAID,-20325
20180522,47,DAID,-19438
20180522,48,DAID,-18841
20180523,1,DAID,-18111
20180523,2,DAID,-17593
20180523,3,DAID,-17501
20180523,4,DAID,-17486
20180523,5,DAID,-17261
20180523,6,DAID,-17207
20180523,7,DAID,-17252
20180523,8,DAID,-17062
20180523,9,DAID,-17011
20180523,10,DAID,-17010
20180523,11,DAID,-17374
20180523,12,DAID,-18159
20180523,13,DAID,-18999
20180523,14,DAID,-20477
20180523,15,DAID,-22420
20180523,16,DAID,-23737
20180523,17,DAID,-24458
20180523,18,DAID,-24637
20180523,19,DAID,-24895
20180523,20,DAID,-24787
20180523,21,DAID,-24608
20180523,22,DAID,-24499
20180523,23,DAID,-24282
20180523,24,DAID,-24170
20180523,25,DAID,-24131
20180523,26,DAID,-23946
20180523,27,DAID,-23618
