Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181203,1654,0,828,-260,1
,20181203,1652,0,828,-252,2
,20181203,1604,0,806,-400,3
,20181203,1602,-74,808,-430,4
,20181203,1604,-214,806,-454,5
,20181203,1602,-326,802,-454,6
,20181203,1602,-474,430,-454,7
,20181203,1602,-536,420,-454,8
,20181203,1602,-536,420,-456,9
,20181203,1602,-456,420,-456,10
,20181203,1602,-304,420,-414,11
,20181203,1602,-198,426,-312,12
,20181203,1896,-54,894,-162,13
,20181203,1904,-58,910,-154,14
,20181203,1954,-222,800,-316,15
,20181203,1972,-310,798,-394,16
,20181203,1784,-470,552,-454,17
,20181203,1784,-536,546,-456,18
,20181203,1998,-536,618,-456,19
,20181203,2000,-536,620,-456,20
,20181203,1998,-536,644,-456,21
,20181203,2000,-536,644,-456,22
,20181203,1998,-536,784,-456,23
,20181203,2000,-536,788,-456,24
,20181203,2000,-536,858,-456,25
,20181203,1998,-536,860,-456,26
,20181203,1998,-480,924,-456,27
,20181203,1998,-498,926,-456,28
,20181203,1998,-536,926,-456,29
,20181203,2000,-536,926,-456,30
,20181203,2000,-536,820,-456,31
,20181203,2000,-536,818,-456,32
,20181203,1998,-536,996,-456,33
,20181203,2000,-536,1000,-456,34
,20181203,2000,-536,1056,-456,35
,20181203,2000,-536,1058,-456,36
,20181203,2000,-536,1058,-456,37
,20181203,2000,-536,1058,-456,38
,20181203,1998,-536,1058,-456,39
,20181203,2000,-536,1058,-456,40
,20181203,2000,-536,1058,-454,41
,20181203,1998,-536,1058,-442,42
,20181203,1998,-536,1002,-438,43
,20181203,1998,-536,1002,-344,44
,20181203,1998,-536,1000,-430,45
,20181203,2000,-536,1000,-414,46
,20181203,1998,-536,1000,-440,47
