Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181201,1594,-158,854,-190,1
,20181201,1602,-26,854,-148,2
,20181201,1602,0,854,-32,3
,20181201,1602,0,854,-20,4
,20181201,1502,0,806,-20,5
,20181201,1502,0,804,-20,6
,20181201,1502,0,804,-20,7
,20181201,1500,0,804,-54,8
,20181201,1600,0,806,-186,9
,20181201,1602,0,804,-210,10
,20181201,1702,0,802,-188,11
,20181201,1702,0,802,-190,12
,20181201,1748,0,618,-152,13
,20181201,1748,-48,616,-224,14
,20181201,1896,-196,726,-376,15
,20181201,1900,-228,722,-454,16
,20181201,1696,-64,-100,-438,17
,20181201,1688,-8,-102,-454,18
,20181201,1998,-118,98,-456,19
,20181201,1998,-144,106,-456,20
,20181201,1998,-288,814,-456,21
,20181201,1998,-276,884,-456,22
,20181201,1998,-112,942,-456,23
,20181201,1998,-40,942,-456,24
,20181201,1998,-70,744,-456,25
,20181201,1998,-68,742,-456,26
,20181201,1998,-130,982,-456,27
,20181201,1998,-152,988,-456,28
,20181201,1998,-154,1000,-456,29
,20181201,2000,-166,1000,-456,30
,20181201,1998,-258,1000,-456,31
,20181201,1998,-308,1000,-456,32
,20181201,1998,-460,1000,-456,33
,20181201,2000,-536,1000,-456,34
,20181201,2000,-536,1058,-456,35
,20181201,2000,-536,1058,-456,36
,20181201,2000,-536,1058,-456,37
,20181201,2000,-536,1058,-456,38
,20181201,1998,-528,1058,-414,39
,20181201,2000,-450,1058,-414,40
,20181201,1998,-300,1058,-272,41
,20181201,1998,-196,1058,-218,42
,20181201,1998,-52,1002,-76,43
,20181201,1998,0,1000,-50,44
,20181201,1806,0,1000,-206,45
,20181201,1794,0,1000,-232,46
,20181201,1998,-70,1000,-190,47
