Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181129,1604,128,806,-20,1
,20181129,1604,8,804,44,2
,20181129,1604,0,804,98,3
,20181129,1604,0,806,32,4
,20181129,1604,0,806,-56,5
,20181129,1604,0,806,-106,6
,20181129,1480,0,760,-256,7
,20181129,1480,0,760,-324,8
,20181129,1408,0,758,-442,9
,20181129,1406,0,758,-366,10
,20181129,1596,0,770,-216,11
,20181129,1604,30,770,-68,12
,20181129,804,158,948,48,13
,20181129,808,76,948,-88,14
,20181129,904,-70,668,-240,15
,20181129,902,-92,662,-362,16
,20181129,1004,0,556,-410,17
,20181129,1004,0,556,-412,18
,20181129,1004,0,156,-282,19
,20181129,996,0,146,-232,20
,20181129,998,0,164,-84,21
,20181129,998,0,174,-18,22
,20181129,990,58,718,70,23
,20181129,972,182,740,102,24
,20181129,966,300,644,102,25
,20181129,840,304,642,102,26
,20181129,796,354,564,102,27
,20181129,626,338,470,86,28
,20181129,772,430,612,102,29
,20181129,778,446,560,102,30
,20181129,1194,486,-192,102,31
,20181129,1280,436,-198,102,32
,20181129,1966,286,98,72,33
,20181129,2000,200,102,78,34
,20181129,1998,54,674,-88,35
,20181129,1998,0,758,-226,36
,20181129,1998,0,828,-138,37
,20181129,1998,48,830,-54,38
,20181129,1976,198,1054,74,39
,20181129,1976,290,1058,102,40
,20181129,1998,438,1058,102,41
,20181129,1998,504,1058,102,42
,20181129,1998,504,1002,102,43
,20181129,1818,504,1000,102,44
,20181129,34,504,906,102,45
,20181129,-36,504,904,102,46
,20181129,180,504,760,92,47
